Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aman-Aromatic (polao),Kilogram,34--35,Quintal,3700--3700, 15/05/2019
2,Foodgrains,Aman-Local-Fine,Kilogram,,Quintal,1900--1900, 15/05/2019
3,Foodgrains,Aman-Local-Medium,Kilogram,17--18,Quintal,1720--1720, 15/05/2019
4,Foodgrains,Aman-Local-Coarse,Kilogram,16--17,Quintal,1544--1544, 15/05/2019
5,Foodgrains,Aus-HYV-Coarse,Kilogram,,Quintal,1675--1675, 15/05/2019
6,Foodgrains,Aus-HYV-Medium,Kilogram,,Quintal,1750--1750, 15/05/2019
7,Foodgrains,Boro-Fine,Kilogram,22--23,Quintal,2000--2000, 15/05/2019
8,Foodgrains,Boro-Medium,Kilogram,16--17,Quintal,1720--1720, 15/05/2019
9,Foodgrains,Boro Coarse,Kilogram,13--14,Quintal,1423--1423, 15/05/2019
10,Foodgrains,Aus-Local,Kilogram,,Quintal,1350--1350, 15/05/2019
11,Foodgrains,Aman-Super-Fine,Kilogram,55--58,Quintal,5467--5467, 15/05/2019
12,Foodgrains,Aman-Fine,Kilogram,49--51,Quintal,4837--4837, 15/05/2019
13,Foodgrains,Aman-Medium,Kilogram,35--37,Quintal,3448--3448, 15/05/2019
14,Foodgrains,Aman-Coarse,Kilogram,28--30,Quintal,2781--2781, 15/05/2019
15,Foodgrains,Aman-Pajam,Kilogram,45--48,Quintal,4500--4500, 15/05/2019
16,Foodgrains,Aus-HYV-Fine,Kilogram,48--60,Quintal,5000--5000, 15/05/2019
17,Foodgrains,Boro-HYV-Fine,Kilogram,47--50,Quintal,4679--4679, 15/05/2019
18,Foodgrains,Boro-Pajam,Kilogram,42--54,Quintal,5200--5200, 15/05/2019
19,Foodgrains,Boro-HYV-Medium,Kilogram,36--39,Quintal,3628--3628, 15/05/2019
20,Foodgrains,Aman-HYV-Coarse,Kilogram,28--30,Quintal,2711--2711, 15/05/2019
21,Foodgrains,Aman-HYV-Fine,Kilogram,49--52,Quintal,4971--4971, 15/05/2019
22,Foodgrains,O. M. S. Coarse,Kilogram,32--34,Quintal,2800--2800, 15/05/2019
23,Foodgrains,Boro-HYV-Coarse,Kilogram,29--31,Quintal,2777--2777, 15/05/2019
24,Foodgrains,Aman-HYV-Medium,Kilogram,34--37,Quintal,3500--3500, 15/05/2019
25,Foodgrains,Aus-HYV-Coarse,Kilogram,28--30,Quintal,2600--2600, 15/05/2019
26,Foodgrains,Local-Red,Kilogram,26--27,Quintal,2467--2467, 15/05/2019
27,Foodgrains,Local-White,Kilogram,25--27,Quintal,2485--2485, 15/05/2019
28,Foodgrains,Imported-Red,Kilogram,28--30,Quintal,2800--2800, 15/05/2019
29,Foodgrains,Imported-White,Kilogram,25--27,Quintal,2467--2467, 15/05/2019
30,Foodgrains,Ata (loose) - white,Kilogram,26--28,Quintal,2477--2477, 15/05/2019
31,Foodgrains,Ata (packet),Kilogram,32--34,Quintal,3098--3098, 15/05/2019
32,Foodgrains,Ata (loose) - red,Kilogram,26--28,Quintal,2533--2533, 15/05/2019
33,Foodgrains,Flour (loose),Kilogram,33--35,Quintal,3179--3179, 15/05/2019
34,Foodgrains,Flour-Suji,Kilogram,47--51,Quintal,4963--4963, 15/05/2019
35,Foodgrains,Flour (packet),Kilogram,42--44,Quintal,4050--4050, 15/05/2019
36,Foodgrains,Maize,Kilogram,19--22,Quintal,1744--1744, 15/05/2019
37,Foodgrains,Chinigura,Kilogram,89--94,Quintal,8671--8671, 15/05/2019
38,Foodgrains,Kalojira,Kilogram,82--93,Quintal,8531--8531, 15/05/2019
39,Foodgrains,Kataribhog,Kilogram,66--69,Quintal,6318--6318, 15/05/2019
40,Foodgrains,Pajam,Kilogram,60--62,Quintal,5850--5850, 15/05/2019
41,Foodgrains,Muri,Kilogram,62--75,Quintal,6583--6583, 15/05/2019
42,Foodgrains,Chira,Kilogram,43--47,Quintal,4035--4035, 15/05/2019
43,,Groundnut,Kilogram,75--80,Quintal,7400--7400, 15/05/2019
44,Dal,Small Mung (Local) - Superior quality,Kilogram,75--80,Quintal,7200--7200, 15/05/2019
45,Dal,Mash (whole),Kilogram,77--82,Quintal,7533--7533, 15/05/2019
46,Dal,Mash (broken),Kilogram,76--83,Quintal,7813--7813, 15/05/2019
47,Dal,Masur (whole) local,Kilogram,92--100,Quintal,9135--9135, 15/05/2019
48,Dal,Masur (broken) local,Kilogram,65--70,Quintal,6412--6412, 15/05/2019
49,Dal,Masur (Imported) Superior quality,Kilogram,80--86,Quintal,7777--7777, 15/05/2019
50,Dal,Masur (Imported) ordinary,Kilogram,59--63,Quintal,5661--5661, 15/05/2019
51,Dal,Mung (local),Kilogram,104--118,Quintal,10591--10591, 15/05/2019
52,Dal,Mung (imported),Kilogram,91--901,Quintal,8543--8543, 15/05/2019
53,Dal,Gram (whole),Kilogram,77--84,Quintal,7657--7657, 15/05/2019
54,Dal,Gram (broken),Kilogram,82--86,Quintal,7965--7965, 15/05/2019
55,Dal,Motar (Peas)-Imported,Kilogram,37--40,Quintal,3499--3499, 15/05/2019
56,Dal,Motar (Peas)-local,Kilogram,59--64,Quintal,5875--5875, 15/05/2019
57,Dal,Khesari,Kilogram,54--59,Quintal,5209--5209, 15/05/2019
58,Dal,Felon,Kilogram,40--45,Quintal,3800--3800, 15/05/2019
59,Oil Seed,Mustard,Kilogram,50--52,Quintal,4691--4691, 15/05/2019
60,Oil Seed,Ground Nut,Kilogram,96--108,Quintal,9125--9125, 15/05/2019
61,Oil,Mustard Oil (Local) - Superior quality,Liter,128--135,100 Liters,12383--12383, 15/05/2019
62,Oil,Mustard Oil (Local) - Ordinary,Liter,121--127,100 Liters,11633--11633, 15/05/2019
