Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aman-Aromatic (polao),Kilogram,37--40,Quintal,3700--3700, 17/04/2019
2,Foodgrains,Aman-Local-Fine,Kilogram,19--20,Quintal,1867--1867, 17/04/2019
3,Foodgrains,Aman-Local-Medium,Kilogram,18--19,Quintal,1835--1835, 17/04/2019
4,Foodgrains,Aman-Local-Coarse,Kilogram,17--18,Quintal,1621--1621, 17/04/2019
5,Foodgrains,Aman-Pajam,Kilogram,,Quintal,2500--2500, 17/04/2019
6,Foodgrains,Aus-HYV-Coarse,Kilogram,,Quintal,1750--1750, 17/04/2019
7,Foodgrains,Aus-HYV-Medium,Kilogram,,Quintal,1750--1750, 17/04/2019
8,Foodgrains,Boro-Fine,Kilogram,27--28,Quintal,2510--2510, 17/04/2019
9,Foodgrains,Aman-HYV-Medium,Kilogram,16--17,Quintal,1731--1731, 17/04/2019
10,Foodgrains,Aman-HYV-Fine,Kilogram,19--20,Quintal,1840--1840, 17/04/2019
11,Foodgrains,Boro-Medium,Kilogram,21--22,Quintal,2101--2101, 17/04/2019
12,Foodgrains,Boro Coarse,Kilogram,,Quintal,1850--1850, 17/04/2019
13,Foodgrains,Aman-HYV-Coarse,Kilogram,14--15,Quintal,1537--1537, 17/04/2019
14,Foodgrains,Aus-Local,Kilogram,,Quintal,1550--1550, 17/04/2019
15,Foodgrains,Boro-Local,Kilogram,19--20,Quintal,1800--1800, 17/04/2019
16,Foodgrains,Aman-Super-Fine,Kilogram,58--60,Quintal,5550--5550, 17/04/2019
17,Foodgrains,Aman-Fine,Kilogram,50--52,Quintal,4869--4869, 17/04/2019
18,Foodgrains,Aman-Medium,Kilogram,35--38,Quintal,3483--3483, 17/04/2019
19,Foodgrains,Aman-Coarse,Kilogram,29--30,Quintal,2793--2793, 17/04/2019
20,Foodgrains,Aman-Pajam,Kilogram,46--49,Quintal,4650--4650, 17/04/2019
21,Foodgrains,Boro-HYV-Fine,Kilogram,48--52,Quintal,5845--5845, 17/04/2019
22,Foodgrains,Boro-HYV-Medium,Kilogram,38--40,Quintal,3746--3746, 17/04/2019
23,Foodgrains,Aman-HYV-Coarse,Kilogram,28--30,Quintal,2685--2685, 17/04/2019
24,Foodgrains,Aman-HYV-Fine,Kilogram,48--52,Quintal,4929--4929, 17/04/2019
25,Foodgrains,Boro-HYV-Coarse,Kilogram,29--31,Quintal,4261--4261, 17/04/2019
26,Foodgrains,Aman-HYV-Medium,Kilogram,34--36,Quintal,3394--3394, 17/04/2019
27,Foodgrains,Aus-HYV-Medium,Kilogram,33--38,Quintal,3400--3400, 17/04/2019
28,Foodgrains,Local-Red,Kilogram,25--26,Quintal,2500--2500, 17/04/2019
29,Foodgrains,Local-White,Kilogram,25--27,Quintal,2518--2518, 17/04/2019
30,Foodgrains,Imported-Red,Kilogram,26--28,Quintal,2550--2550, 17/04/2019
31,Foodgrains,Imported-White,Kilogram,26--27,Quintal,2570--2570, 17/04/2019
32,Foodgrains,Ata (loose) - white,Kilogram,27--28,Quintal,2532--2532, 17/04/2019
33,Foodgrains,Ata (packet),Kilogram,32--33,Quintal,3097--3097, 17/04/2019
34,Foodgrains,Ata (loose) - red,Kilogram,25--26,Quintal,2450--2450, 17/04/2019
35,Foodgrains,Flour (loose),Kilogram,33--35,Quintal,3225--3225, 17/04/2019
36,Foodgrains,Flour-Suji,Kilogram,42--44,Quintal,3943--3943, 17/04/2019
37,Foodgrains,Flour (packet),Kilogram,42--44,Quintal,4037--4037, 17/04/2019
38,Foodgrains,Maize,Kilogram,20--22,Quintal,1856--1856, 17/04/2019
39,Foodgrains,Chinigura,Kilogram,87--93,Quintal,8545--8545, 17/04/2019
40,Foodgrains,Kalojira,Kilogram,87--91,Quintal,8382--8382, 17/04/2019
41,Foodgrains,Kataribhog,Kilogram,65--67,Quintal,6256--6256, 17/04/2019
42,Foodgrains,Pajam,Kilogram,56--58,Quintal,5500--5500, 17/04/2019
43,Foodgrains,Muri,Kilogram,58--64,Quintal,5536--5536, 17/04/2019
44,Foodgrains,Chira,Kilogram,43--48,Quintal,4038--4038, 17/04/2019
45,,Groundnut,Kilogram,75--85,Quintal,7800--7800, 17/04/2019
46,Dal,Mash (whole),Kilogram,79--84,Quintal,7925--7925, 17/04/2019
47,Dal,Mash (broken),Kilogram,74--81,Quintal,7589--7589, 17/04/2019
48,Dal,Masur (whole) local,Kilogram,88--94,Quintal,8659--8659, 17/04/2019
49,Dal,Masur (broken) local,Kilogram,62--67,Quintal,11524--11524, 17/04/2019
50,Dal,Masur (Imported) Superior quality,Kilogram,75--81,Quintal,7366--7366, 17/04/2019
51,Dal,Masur (Imported) ordinary,Kilogram,57--63,Quintal,5589--5589, 17/04/2019
52,Dal,Mung (local),Kilogram,104--117,Quintal,10568--10568, 17/04/2019
53,Dal,Mung (imported),Kilogram,89--96,Quintal,8443--8443, 17/04/2019
54,Dal,Gram (whole),Kilogram,78--84,Quintal,7608--7608, 17/04/2019
55,Dal,Gram (broken),Kilogram,82--87,Quintal,8022--8022, 17/04/2019
56,Dal,Motar (Peas)-Imported,Kilogram,38--40,Quintal,3537--3537, 17/04/2019
57,Dal,Motar (Peas)-local,Kilogram,52--56,Quintal,4933--4933, 17/04/2019
58,Dal,Khesari,Kilogram,51--54,Quintal,4775--4775, 17/04/2019
59,Oil Seed,Mustard,Kilogram,50--52,Quintal,4722--4722, 17/04/2019
60,Oil Seed,Ground Nut,Kilogram,100--110,Quintal,9167--9167, 17/04/2019
61,Oil,Mustard Oil (Local) - Superior quality,Liter,134--139,100 Liters,13064--13064, 17/04/2019
62,Oil,Mustard Oil (Local) - Ordinary,Liter,119--127,100 Liters,11763--11763, 17/04/2019
63,Oil,Soybean Oil(loose),Liter,83--85,100 Liters,8065--8065, 17/04/2019
64,Oil,Sunflower,Liter,220--240,100 Liters,, 17/04/2019
65,Oil,Palm Oil,Liter,64--66,100 Liters,6232--6232, 17/04/2019
66,Oil,Vegetable Ghee,Liter,224--243,100 Liters,8350--8350, 17/04/2019
67,Oil,Butter Oil,Liter,800--850,100 Liters,, 17/04/2019
68,Oil,Coconut Oil (local),Liter,194--230,100 Liters,20960--20960, 17/04/2019
69,Oil,Coconut  Oil (Imported) - Superior Quality,Liter,306--333,100 Liters,25433--25433, 17/04/2019
70,Oil,Coconut Oil (Imported) - Ordinary,Liter,200--215,100 Liters,19000--19000, 17/04/2019
71,Oil Cake,Oil Cake - Mustard,Kilogram,37--38,Quintal,3367--3367, 17/04/2019
72,Spices,Black Pepper(Golmorich),10 gm,14--18,Kilogram,660--660, 17/04/2019
73,Spices,Clove(Lobonga),10 gm,29--32,Kilogram,1061--1061, 17/04/2019
74,Spices,Cinnamon(Daruchini),10 gm,6--7,Kilogram,303--303, 17/04/2019
75,Spices,Zain,10 gm,4--5,Kilogram,207--207, 17/04/2019
76,Spices,Fennel/Aniseed,10 gm,3--4,Kilogram,140--140, 17/04/2019
77,Spices,Cumin (Seed),10 gm,5--6,Kilogram,373--373, 17/04/2019
78,Spices,Black Cumin (Seed)(Kalozira),10 gm,3--4,Kilogram,208--208, 17/04/2019
79,Spices,Fenugreek(Methi),10 gm,3--3,Kilogram,128--128, 17/04/2019
80,Spices,Dried Chili (Bogra/Rangpur) - Superior,Kilogram,171--186,Quintal,16344--16344, 17/04/2019
81,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Superior,Kilogram,164--176,Quintal,15970--15970, 17/04/2019
82,Spices,Dried Chili (Chittagong) - Superior,Kilogram,210--220,Quintal,20333--20333, 17/04/2019
83,Spices,Dried Chili (Battakandi) - Superior,Kilogram,190--200,Quintal,18500--18500, 17/04/2019
84,Spices,Dried Chili (Local) - Superior,Kilogram,163--172,Quintal,15833--15833, 17/04/2019
85,Spices,Turmeric (Local) - Round (Superior),Kilogram,170--190,Quintal,, 17/04/2019
86,Spices,Turmeric (Local) - Long (Superior),Kilogram,138--149,Quintal,13380--13380, 17/04/2019
87,Spices,Turmeric (Imported),Kilogram,130--138,Quintal,12250--12250, 17/04/2019
88,Spices,Turmeric (Local) - Round (Ordinary),Kilogram,128--133,Quintal,12750--12750, 17/04/2019
89,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,128--136,Quintal,12277--12277, 17/04/2019
90,Spices,Dried Chili (Bogra/Rangpur) - Ordinary,Kilogram,148--160,Quintal,13867--13867, 17/04/2019
91,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,134--140,Quintal,12875--12875, 17/04/2019
92,Spices,Dried Chili (Battakandi) - Ordinary,Kilogram,168--175,Quintal,16250--16250, 17/04/2019
93,Spices,Dried Chili (Imported) - Ordinary,Kilogram,172--187,Quintal,16086--16086, 17/04/2019
94,Spices,Dried Chili (Local) - Ordinary,Kilogram,152--164,Quintal,15178--15178, 17/04/2019
95,Spices,Khoayr (Catechu) - Superior Quality,10 gm,7--8,Kilogram,650--650, 17/04/2019
96,Spices,Coriander Seed (Old),Kilogram,97--108,Quintal,9355--9355, 17/04/2019
97,Spices,Onion (local),Kilogram,22--25,Quintal,2457--2457, 17/04/2019
98,Spices,Onion-imported,Kilogram,18--21,Quintal,2058--2058, 17/04/2019
99,Spices,Onion (New),Kilogram,21--24,Quintal,2013--2013, 17/04/2019
100,Spices,Garlic (local) - Big Size,Kilogram,48--57,Quintal,4608--4608, 17/04/2019
101,Spices,Garlic - One Piece,Kilogram,26--28,Quintal,2400--2400, 17/04/2019
102,Spices,Garlic (Imported),Kilogram,93--102,Quintal,8815--8815, 17/04/2019
103,Spices,Green Chili (Local),Kilogram,44--52,Quintal,4009--4009, 17/04/2019
104,Spices,Ginger (local) - Old,Kilogram,107--118,Quintal,9733--9733, 17/04/2019
