Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aman-Aromatic (polao),Kilogram,34--35,Quintal,3700--3700, 17/06/2019
2,Foodgrains,Aman-Local-Fine,Kilogram,,Quintal,1850--1850, 17/06/2019
3,Foodgrains,Aman-Local-Medium,Kilogram,,Quintal,1800--1800, 17/06/2019
4,Foodgrains,Aman-Local-Coarse,Kilogram,14--15,Quintal,1500--1500, 17/06/2019
5,Foodgrains,Aus-HYV-Coarse,Kilogram,,Quintal,1850--1850, 17/06/2019
6,Foodgrains,Aus-HYV-Medium,Kilogram,,Quintal,1750--1750, 17/06/2019
7,Foodgrains,Boro-Fine,Kilogram,20--21,Quintal,1896--1896, 17/06/2019
8,Foodgrains,Boro-Medium,Kilogram,16--17,Quintal,1611--1611, 17/06/2019
9,Foodgrains,Boro Coarse,Kilogram,13--14,Quintal,1369--1369, 17/06/2019
10,Foodgrains,Aman-Super-Fine,Kilogram,54--57,Quintal,5500--5500, 17/06/2019
11,Foodgrains,Aman-Fine,Kilogram,48--51,Quintal,4740--4740, 17/06/2019
12,Foodgrains,Aman-Medium,Kilogram,35--37,Quintal,3420--3420, 17/06/2019
13,Foodgrains,Aman-Coarse,Kilogram,29--31,Quintal,2825--2825, 17/06/2019
14,Foodgrains,Aman-Pajam,Kilogram,45--48,Quintal,4463--4463, 17/06/2019
15,Foodgrains,Aus-HYV-Fine,Kilogram,50--62,Quintal,5200--5200, 17/06/2019
16,Foodgrains,Boro-HYV-Fine,Kilogram,45--49,Quintal,4548--4548, 17/06/2019
17,Foodgrains,Boro-Pajam,Kilogram,42--59,Quintal,5700--5700, 17/06/2019
18,Foodgrains,Atap,Kilogram,24--28,Quintal,2500--2500, 17/06/2019
19,Foodgrains,Boro-HYV-Medium,Kilogram,35--38,Quintal,3528--3528, 17/06/2019
20,Foodgrains,Aman-HYV-Coarse,Kilogram,28--30,Quintal,2689--2689, 17/06/2019
21,Foodgrains,Aman-HYV-Fine,Kilogram,49--53,Quintal,5014--5014, 17/06/2019
22,Foodgrains,O. M. S. Coarse,Kilogram,33--35,Quintal,2800--2800, 17/06/2019
23,Foodgrains,Boro-HYV-Coarse,Kilogram,28--30,Quintal,2770--2770, 17/06/2019
24,Foodgrains,Aman-HYV-Medium,Kilogram,34--36,Quintal,3375--3375, 17/06/2019
25,Foodgrains,Aus-HYV-Coarse,Kilogram,26--27,Quintal,2600--2600, 17/06/2019
26,Foodgrains,Boro-Local,Kilogram,28--30,Quintal,2800--2800, 17/06/2019
27,Foodgrains,Local-Red,Kilogram,26--27,Quintal,2550--2550, 17/06/2019
28,Foodgrains,Local-White,Kilogram,26--27,Quintal,2515--2515, 17/06/2019
29,Foodgrains,Imported-Red,Kilogram,28--30,Quintal,2800--2800, 17/06/2019
30,Foodgrains,Imported-White,Kilogram,26--27,Quintal,2500--2500, 17/06/2019
31,Foodgrains,Ata (loose) - white,Kilogram,26--27,Quintal,2438--2438, 17/06/2019
32,Foodgrains,Ata (packet),Kilogram,31--33,Quintal,3068--3068, 17/06/2019
33,Foodgrains,Ata (loose) - red,Kilogram,25--27,Quintal,2433--2433, 17/06/2019
34,Foodgrains,Flour (loose),Kilogram,33--35,Quintal,3213--3213, 17/06/2019
35,Foodgrains,Flour-Suji,Kilogram,45--48,Quintal,4596--4596, 17/06/2019
36,Foodgrains,Flour (packet),Kilogram,42--44,Quintal,4017--4017, 17/06/2019
37,Foodgrains,Maize,Kilogram,21--23,Quintal,1838--1838, 17/06/2019
38,Foodgrains,Chinigura,Kilogram,90--96,Quintal,8838--8838, 17/06/2019
