Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Boro-Fine,Kilogram,,Quintal,2000--2000, 02/08/2016
2,Foodgrains,Boro-Medium,Kilogram,,Quintal,1600--1600, 02/08/2016
3,Foodgrains,Boro Coarse,Kilogram,,Quintal,1660--1660, 02/08/2016
4,Foodgrains,Boro-Local,Kilogram,,Quintal,1300--1300, 02/08/2016
5,Foodgrains,Aman-Medium,Kilogram,34--36,Quintal,3400--3400, 02/08/2016
6,Foodgrains,Aman-Coarse,Kilogram,,Quintal,2850--2850, 02/08/2016
7,Foodgrains,Boro-HYV-Fine,Kilogram,43--45,Quintal,4220--4220, 02/08/2016
8,Foodgrains,Boro-HYV-Medium,Kilogram,34--36,Quintal,3340--3340, 02/08/2016
9,Foodgrains,Aman-HYV-Coarse,Kilogram,28--30,Quintal,2900--2900, 02/08/2016
10,Foodgrains,Aman-HYV-Fine,Kilogram,42--45,Quintal,, 02/08/2016
11,Foodgrains,Boro-HYV-Coarse,Kilogram,26--28,Quintal,2517--2517, 02/08/2016
12,Foodgrains,Aman-HYV-Medium,Kilogram,35--36,Quintal,3400--3400, 02/08/2016
13,Foodgrains,Boro-Local,Kilogram,28--30,Quintal,2900--2900, 02/08/2016
14,Foodgrains,Local-White,Kilogram,24--25,Quintal,2200--2200, 02/08/2016
15,Foodgrains,Ata (loose) - white,Kilogram,22--24,Quintal,2120--2120, 02/08/2016
16,Foodgrains,Ata (packet),Kilogram,30--32,Quintal,2900--2900, 02/08/2016
17,Foodgrains,Flour (loose),Kilogram,31--34,Quintal,3057--3057, 02/08/2016
18,Foodgrains,Flour-Suji,Kilogram,34--38,Quintal,5600--5600, 02/08/2016
19,Foodgrains,Flour (packet),Kilogram,36--39,Quintal,3800--3800, 02/08/2016
20,Foodgrains,Chinigura,Kilogram,98--103,Quintal,9600--9600, 02/08/2016
21,Foodgrains,Kalojira,Kilogram,80--85,Quintal,8200--8200, 02/08/2016
22,Foodgrains,Kataribhog,Kilogram,60--68,Quintal,6200--6200, 02/08/2016
23,Foodgrains,Muri,Kilogram,50--55,Quintal,4450--4450, 02/08/2016
24,Foodgrains,Chira,Kilogram,40--45,Quintal,3700--3700, 02/08/2016
25,Dal,Small Mung (Local) - Superior quality,Kilogram,100--110,Quintal,, 02/08/2016
26,Dal,Mash (whole),Kilogram,,Quintal,11800--11800, 02/08/2016
27,Dal,Mash (broken),Kilogram,30--40,Quintal,11200--11200, 02/08/2016
