Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aus-HYV-Coarse,Kilogram,25--26,Quintal,2400--2400, 24/08/2016
2,Foodgrains,Aus-HYV-Medium,Kilogram,24--25,Quintal,2300--2300, 24/08/2016
3,Foodgrains,Boro-Fine,Kilogram,32--33,Quintal,3000--3000, 24/08/2016
4,Foodgrains,Boro-Medium,Kilogram,30--31,Quintal,2900--2900, 24/08/2016
5,Foodgrains,Boro Coarse,Kilogram,28--29,Quintal,2750--2750, 24/08/2016
6,Foodgrains,Boro-HYV-Fine,Kilogram,53--55,Quintal,25050--25050, 24/08/2016
7,Foodgrains,Boro-HYV-Medium,Kilogram,43--46,Quintal,4300--4300, 24/08/2016
8,Foodgrains,Boro-HYV-Coarse,Kilogram,37--39,Quintal,3600--3600, 24/08/2016
9,Foodgrains,Ata (loose) - white,Kilogram,26--27,Quintal,2450--2450, 24/08/2016
10,Foodgrains,Ata (packet),Kilogram,29--30,Quintal,2800--2800, 24/08/2016
11,Foodgrains,Flour (loose),Kilogram,32--34,Quintal,3200--3200, 24/08/2016
12,Foodgrains,Flour-Suji,Kilogram,,Quintal,5600--5600, 24/08/2016
13,Foodgrains,Flour (packet),Kilogram,38--40,Quintal,3800--3800, 24/08/2016
14,Foodgrains,Chinigura,Kilogram,100--110,Quintal,9500--9500, 24/08/2016
15,Foodgrains,Kalojira,Kilogram,90--95,Quintal,8600--8600, 24/08/2016
16,Dal,Masur (whole) local,Kilogram,115--120,Quintal,13000--13000, 24/08/2016
17,Dal,Masur (Imported) Superior quality,Kilogram,120--125,Quintal,8800--8800, 24/08/2016
18,Dal,Masur (Imported) ordinary,Kilogram,93--98,Quintal,9100--9100, 24/08/2016
19,Dal,Mung (local),Kilogram,125--130,Quintal,12000--12000, 24/08/2016
20,Dal,Mung (imported),Kilogram,100--110,Quintal,9500--9500, 24/08/2016
21,Dal,Gram (whole),Kilogram,74--75,Quintal,7200--7200, 24/08/2016
22,Dal,Motar (Peas)-Imported,Kilogram,44--45,Quintal,4000--4000, 24/08/2016
23,Dal,Khesari,Kilogram,78--80,Quintal,, 24/08/2016
24,Oil,Mustard Oil (Local) - Superior quality,Liter,170--175,100 Liters,16500--16500, 24/08/2016
25,Oil,Soybean Oil(loose),Liter,103--105,100 Liters,11400--11400, 24/08/2016
26,Oil,Palm Oil,Liter,88--91,100 Liters,8700--8700, 24/08/2016
27,Oil,Coconut Oil (local),Liter,120--130,100 Liters,, 24/08/2016
28,Oil,Coconut Oil (Imported) - Ordinary,Liter,160--170,100 Liters,, 24/08/2016
29,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Superior,Kilogram,260--280,Quintal,25000--25000, 24/08/2016
30,Spices,Turmeric (Local) - Long (Superior),Kilogram,160--180,Quintal,15000--15000, 24/08/2016
31,Spices,Dried Chili (Battakandi) - Ordinary,Kilogram,190--200,Quintal,, 24/08/2016
32,Spices,Dried Chili (Imported) - Ordinary,Kilogram,,Quintal,19000--19000, 24/08/2016
33,Spices,Dried Chili (Local) - Ordinary,Kilogram,150--160,Quintal,14000--14000, 24/08/2016
34,Spices,Onion (local),Kilogram,40--42,Quintal,3500--3500, 24/08/2016
35,Spices,Onion-imported,Kilogram,18--20,Quintal,2000--2000, 24/08/2016
36,Spices,Garlic (local) - Big Size,Kilogram,100--110,Quintal,9750--9750, 24/08/2016
37,Spices,Garlic (Imported),Kilogram,180--190,Quintal,18000--18000, 24/08/2016
38,Spices,Green Chili (Local),Kilogram,80--88,Quintal,7300--7300, 24/08/2016
39,Spices,Ginger (local) - Old,Kilogram,90--100,Quintal,8500--8500, 24/08/2016
40,Spices,Ginger (Imported),Kilogram,120--130,Quintal,10500--10500, 24/08/2016
41,Fibre,Tossa Cotton (Garsat - Average quality),Kilogram,70--75,Quintal,7500--7500, 24/08/2016
42,Poultry,Local Hen - Medium (700-850 gm),Kilogram,365--390,Quintal,36000--36000, 24/08/2016
43,Poultry,Local Hen - Small (500-650 gm),Kilogram,420--440,Quintal,40000--40000, 24/08/2016
44,Poultry,Farm-raised Hen,Kilogram,125--130,Quintal,11750--11750, 24/08/2016
45,Meat,Beef,Kilogram,485--510,Quintal,25235--25235, 24/08/2016
46,Meat,Mutton (male),Kilogram,,Quintal,670--670, 24/08/2016
47,Egg,Egg Farm-Red,4 Pieces,36--37,100 pieces,800--800, 24/08/2016
48,Egg,Egg Duck-Local,4 Pieces,40--43,100 pieces,925--925, 24/08/2016
49,Fish,Ruhi (Local) big (above 5 kg),Kilogram,250--350,Quintal,30000--30000, 24/08/2016
50,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,340--360,Quintal,34000--34000, 24/08/2016
51,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,250--260,Quintal,24000--24000, 24/08/2016
