Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Boro-Fine,Kilogram,30--31,Quintal,2855--2855, 20/07/2017
2,Foodgrains,Boro-Medium,Kilogram,25--25,Quintal,2520--2520, 20/07/2017
3,Foodgrains,Boro Coarse,Kilogram,22--23,Quintal,2180--2180, 20/07/2017
4,Foodgrains,Boro-Local,Kilogram,21--21,Quintal,2275--2275, 20/07/2017
5,Foodgrains,Aman-Super-Fine,Kilogram,54--55,Quintal,5150--5150, 20/07/2017
6,Foodgrains,Aman-Fine,Kilogram,52--54,Quintal,5075--5075, 20/07/2017
7,Foodgrains,Aman-Medium,Kilogram,46--48,Quintal,4552--4552, 20/07/2017
8,Foodgrains,Aman-Coarse,Kilogram,40--43,Quintal,3663--3663, 20/07/2017
9,Foodgrains,Aman-Pajam,Kilogram,54--57,Quintal,5314--5314, 20/07/2017
10,Foodgrains,Boro-HYV-Fine,Kilogram,52--54,Quintal,5162--5162, 20/07/2017
11,Foodgrains,Boro-Pajam,Kilogram,50--53,Quintal,5000--5000, 20/07/2017
12,Foodgrains,Atap,Kilogram,38--40,Quintal,3800--3800, 20/07/2017
13,Foodgrains,Boro-HYV-Medium,Kilogram,45--48,Quintal,4500--4500, 20/07/2017
14,Foodgrains,Aman-HYV-Coarse,Kilogram,39--41,Quintal,3826--3826, 20/07/2017
15,Foodgrains,Aman-HYV-Fine,Kilogram,54--56,Quintal,5246--5246, 20/07/2017
16,Foodgrains,Boro-HYV-Coarse,Kilogram,39--41,Quintal,3861--3861, 20/07/2017
17,Foodgrains,Aman-HYV-Medium,Kilogram,45--48,Quintal,4446--4446, 20/07/2017
18,Foodgrains,Boro-Local,Kilogram,41--43,Quintal,4100--4100, 20/07/2017
19,Foodgrains,Local-Red,Kilogram,18--19,Quintal,1950--1950, 20/07/2017
20,Foodgrains,Local-White,Kilogram,22--23,Quintal,2142--2142, 20/07/2017
21,Foodgrains,Imported-White,Kilogram,23--24,Quintal,2100--2100, 20/07/2017
22,Foodgrains,Ata (loose) - white,Kilogram,23--24,Quintal,2145--2145, 20/07/2017
23,Foodgrains,Ata (packet),Kilogram,30--32,Quintal,2871--2871, 20/07/2017
24,Foodgrains,Ata (loose) - red,Kilogram,22--23,Quintal,2100--2100, 20/07/2017
25,Foodgrains,Flour (loose),Kilogram,31--40,Quintal,3035--3035, 20/07/2017
26,Foodgrains,Flour-Suji,Kilogram,47--50,Quintal,4500--4500, 20/07/2017
27,Foodgrains,Flour (packet),Kilogram,39--41,Quintal,3796--3796, 20/07/2017
28,Foodgrains,Maize,Kilogram,21--23,Quintal,1590--1590, 20/07/2017
29,Foodgrains,Chinigura,Kilogram,80--86,Quintal,7954--7954, 20/07/2017
30,Foodgrains,Kalojira,Kilogram,76--81,Quintal,7322--7322, 20/07/2017
31,Foodgrains,Kataribhog,Kilogram,62--65,Quintal,5958--5958, 20/07/2017
32,Foodgrains,Pajam,Kilogram,52--54,Quintal,4920--4920, 20/07/2017
33,Foodgrains,Muri,Kilogram,95--72,Quintal,6370--6370, 20/07/2017
34,Foodgrains,Chira,Kilogram,48--52,Quintal,4706--4706, 20/07/2017
35,Dal,Small Mung (Local) - Superior quality,Kilogram,112--118,Quintal,10600--10600, 20/07/2017
36,Dal,Small Mung (Local) - Ordinary,Kilogram,93--98,Quintal,8850--8850, 20/07/2017
37,Dal,Mash (whole),Kilogram,101--105,Quintal,9850--9850, 20/07/2017
38,Dal,Mash (broken),Kilogram,104--111,Quintal,10520--10520, 20/07/2017
39,Dal,Masur (whole) local,Kilogram,110--116,Quintal,10678--10678, 20/07/2017
40,Dal,Masur (broken) local,Kilogram,84--89,Quintal,8225--8225, 20/07/2017
41,Dal,Masur (Imported) Superior quality,Kilogram,100--107,Quintal,9618--9618, 20/07/2017
42,Dal,Masur (Imported) ordinary,Kilogram,78--135,Quintal,7373--7373, 20/07/2017
43,Dal,Mung (local),Kilogram,110--118,Quintal,11054--11054, 20/07/2017
44,Dal,Mung (imported),Kilogram,96--101,Quintal,9408--9408, 20/07/2017
45,Dal,Gram (whole),Kilogram,89--92,Quintal,8555--8555, 20/07/2017
46,Dal,Gram (broken),Kilogram,89--93,Quintal,8700--8700, 20/07/2017
47,Dal,Motar (Peas)-Imported,Kilogram,38--2838,Quintal,3570--3570, 20/07/2017
48,Dal,Motar (Peas)-local,Kilogram,96--100,Quintal,28017--28017, 20/07/2017
49,Dal,Khesari,Kilogram,68--71,Quintal,6515--6515, 20/07/2017
50,Dal,Felon,Kilogram,53--57,Quintal,5000--5000, 20/07/2017
51,Oil Seed,Mustard,Kilogram,50--51,Quintal,4842--4842, 20/07/2017
52,Oil Seed,Ground Nut,Kilogram,60--64,Quintal,5200--5200, 20/07/2017
53,Oil,Mustard Oil (Local) - Superior quality,Liter,132--139,100 Liters,12800--12800, 20/07/2017
54,Oil,Mustard Oil (Local) - Ordinary,Liter,119--126,100 Liters,11363--11363, 20/07/2017
55,Oil,Soybean Oil(loose),Liter,83--85,100 Liters,8042--8042, 20/07/2017
56,Oil,Sesame Oil(Till),Liter,160--180,100 Liters,, 20/07/2017
57,Oil,Sunflower,Liter,240--250,100 Liters,, 20/07/2017
58,Oil,Palm Oil,Liter,72--74,100 Liters,6970--6970, 20/07/2017
59,Oil,Vegetable Ghee,Liter,97--100,100 Liters,8883--8883, 20/07/2017
60,Oil,Butter Oil,Liter,800--850,100 Liters,, 20/07/2017
61,Oil,Coconut Oil (local),Liter,226--243,100 Liters,22450--22450, 20/07/2017
62,Oil,Coconut  Oil (Imported) - Superior Quality,Liter,334--360,100 Liters,21300--21300, 20/07/2017
63,Oil,Coconut Oil (Imported) - Ordinary,Liter,160--170,100 Liters,16000--16000, 20/07/2017
64,Oil Cake,Oil Cake - Mustard,Kilogram,37--39,Quintal,3433--3433, 20/07/2017
65,Spices,Black Pepper(Golmorich),10 gm,8--9,Kilogram,1083--1083, 20/07/2017
66,Spices,Clove(Lobonga),10 gm,16--18,Kilogram,1217--1217, 20/07/2017
67,Spices,Cinnamon(Daruchini),10 gm,5--6,Kilogram,270--270, 20/07/2017
68,Spices,Zain,10 gm,3--4,Kilogram,340--340, 20/07/2017
69,Spices,Cumin (Seed),10 gm,5--5,Kilogram,390--390, 20/07/2017
70,Spices,Black Cumin (Seed)(Kalozira),10 gm,3--3,Kilogram,265--265, 20/07/2017
71,Spices,Fenugreek(Methi),10 gm,2--2,Kilogram,150--150, 20/07/2017
72,Spices,Dried Chili (Bogra/Rangpur) - Superior,Kilogram,151--162,Quintal,14231--14231, 20/07/2017
73,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Superior,Kilogram,159--171,Quintal,15333--15333, 20/07/2017
74,Spices,Dried Chili (Chittagong) - Superior,Kilogram,230--240,Quintal,20300--20300, 20/07/2017
75,Spices,Dried Chili (Local) - Superior,Kilogram,131--145,Quintal,13125--13125, 20/07/2017
76,Spices,Turmeric (Local) - Round (Superior),Kilogram,140--180,Quintal,, 20/07/2017
77,Spices,Turmeric (Local) - Long (Superior),Kilogram,139--149,Quintal,13163--13163, 20/07/2017
78,Spices,Turmeric (Imported),Kilogram,122--131,Quintal,11620--11620, 20/07/2017
79,Spices,Turmeric (Local) - Round (Ordinary),Kilogram,130--138,Quintal,13250--13250, 20/07/2017
80,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,121--129,Quintal,11629--11629, 20/07/2017
81,Spices,Dried Chili (Bogra/Rangpur) - Ordinary,Kilogram,129--142,Quintal,12338--12338, 20/07/2017
82,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,146--153,Quintal,13850--13850, 20/07/2017
83,Spices,Dried Chili (Chittagong) - Ordinary,Kilogram,168--175,Quintal,14200--14200, 20/07/2017
84,Spices,Dried Chili (Battakandi) - Ordinary,Kilogram,170--180,Quintal,16000--16000, 20/07/2017
85,Spices,Dried Chili (Imported) - Ordinary,Kilogram,154--166,Quintal,13950--13950, 20/07/2017
86,Spices,Dried Chili (Local) - Ordinary,Kilogram,147--159,Quintal,13811--13811, 20/07/2017
87,Spices,Coriander Seed (Old),Kilogram,88--98,Quintal,7871--7871, 20/07/2017
88,Spices,Coriander Seed (New),Kilogram,65--70,Quintal,6200--6200, 20/07/2017
89,Spices,Onion (local),Kilogram,25--27,Quintal,2245--2245, 20/07/2017
90,Spices,Onion-imported,Kilogram,19--21,Quintal,1781--1781, 20/07/2017
91,Spices,Garlic (local) - Big Size,Kilogram,85--97,Quintal,8264--8264, 20/07/2017
92,Spices,Garlic - One Piece,Kilogram,70--70,Quintal,5000--5000, 20/07/2017
93,Spices,Garlic (Imported),Kilogram,129--138,Quintal,11887--11887, 20/07/2017
94,Spices,Green Chili (Local),Kilogram,71--81,Quintal,6469--6469, 20/07/2017
95,Spices,Ginger (local) - Old,Kilogram,78--87,Quintal,7076--7076, 20/07/2017
96,Spices,Ginger (local) - New,Kilogram,84--95,Quintal,7500--7500, 20/07/2017
97,Spices,Ginger (Imported),Kilogram,78--88,Quintal,7121--7121, 20/07/2017
98,Spices,Cardamom - Big,10 gm,26--29,Kilogram,1410--1410, 20/07/2017
99,Spices,Cardamom - Small,10 gm,19--22,Kilogram,1400--1400, 20/07/2017
100,Spices,Dry Chilli,Quintal,140--150,Quintal,13250--13250, 20/07/2017
101,Fibre,Shimul (Kapok),Kilogram,530--570,Quintal,43833--43833, 20/07/2017
102,Fibre,Cotton (Comilla),Kilogram,190--217,Quintal,18250--18250, 20/07/2017
103,Fibre,White Cotton (Gorsat - Average quality),Kilogram,,Quintal,3000--3000, 20/07/2017
