Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Boro-Pajam,Kilogram,52--58,Quintal,5600--5600, 01/07/2017
2,Foodgrains,Boro-HYV-Medium,Kilogram,43--48,Quintal,4600--4600, 01/07/2017
3,Foodgrains,Boro-HYV-Coarse,Kilogram,42--43,Quintal,, 01/07/2017
4,Foodgrains,Ata (loose) - white,Kilogram,23--26,Quintal,2300--2300, 01/07/2017
5,Foodgrains,Ata (packet),Kilogram,32--34,Quintal,3200--3200, 01/07/2017
6,Foodgrains,Flour (loose),Kilogram,30--32,Quintal,2900--2900, 01/07/2017
7,Dal,Masur (whole) local,Kilogram,100--110,Quintal,9800--9800, 01/07/2017
8,Oil,Soybean Oil(loose),Liter,85--86,100 Liters,7700--7700, 01/07/2017
9,Oil,Palm Oil,Liter,75--80,100 Liters,7250--7250, 01/07/2017
10,Spices,Turmeric (Local) - Long (Superior),Kilogram,120--122,Quintal,12200--12200, 01/07/2017
11,Spices,Turmeric (Imported),Kilogram,116--118,Quintal,10800--10800, 01/07/2017
12,Spices,Turmeric (Local) - Round (Ordinary),Kilogram,118--120,Quintal,11000--11000, 01/07/2017
13,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,110--115,Quintal,10500--10500, 01/07/2017
14,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,120--130,Quintal,12000--12000, 01/07/2017
15,Spices,Onion (local),Kilogram,25--28,Quintal,2300--2300, 01/07/2017
16,Spices,Green Chili (Local),Kilogram,85--90,Quintal,8000--8000, 01/07/2017
17,Meat,Broiler Farm,Kilogram,145--150,Quintal,14000--14000, 01/07/2017
18,Egg,Egg Farm-Red,4 Pieces,27--28,100 pieces,650--650, 01/07/2017
19,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,260--360,Quintal,34000--34000, 01/07/2017
20,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,350--400,Quintal,38000--38000, 01/07/2017
21,Fish,Katla-Small (1.50-2.00 kg),Kilogram,250--320,Quintal,30000--30000, 01/07/2017
22,Fish,Hilsha,Kilogram,500--1000,Quintal,96000--96000, 01/07/2017
23,Vegetable,Potato (Local) - Old,Kilogram,22--28,Quintal,2500--2500, 01/07/2017
24,Vegetable,Potato (Holland) - Red (Old),Kilogram,20--22,Quintal,2000--2000, 01/07/2017
25,Vegetable,Brinjal - Superior Quality,Kilogram,20--25,Quintal,2000--2000, 01/07/2017
26,Vegetable,Brinjal - Ordinary Quality,Kilogram,30--32,Quintal,2500--2500, 01/07/2017
27,Vegetable,Kakroll,Kilogram,30--32,Quintal,2600--2600, 01/07/2017
28,Vegetable,Lady`s Finger (Okra),Kilogram,15--20,Quintal,1500--1500, 01/07/2017
29,Vegetable,Dhundol,Kilogram,15--16,Quintal,1200--1200, 01/07/2017
30,Vegetable,Cucumber-small,Kilogram,8--20,Quintal,1500--1500, 01/07/2017
31,Others,Sugar (Imported),Kilogram,66--67,Quintal,6350--6350, 01/07/2017
32,Others,Iodized Salt (Packed),Kilogram,25--40,Quintal,3600--3600, 01/07/2017
