Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aman-Local-Fine,Kilogram,,Quintal,1600--1600, 07/06/2016
2,Foodgrains,Aman-Local-Medium,Kilogram,,Quintal,1450--1450, 07/06/2016
3,Foodgrains,Boro-Fine,Kilogram,,Quintal,2040--2040, 07/06/2016
4,Foodgrains,Aman-HYV-Medium,Kilogram,,Quintal,1590--1590, 07/06/2016
5,Foodgrains,Boro-Medium,Kilogram,15--15,Quintal,1535--1535, 07/06/2016
6,Foodgrains,Aman-HYV-Coarse,Kilogram,,Quintal,1665--1665, 07/06/2016
7,Foodgrains,Boro-Local,Kilogram,13--13,Quintal,1650--1650, 07/06/2016
8,Foodgrains,Aman-Medium,Kilogram,30--32,Quintal,3233--3233, 07/06/2016
9,Foodgrains,Aman-Coarse,Kilogram,25--26,Quintal,2535--2535, 07/06/2016
10,Foodgrains,Aman-Pajam,Kilogram,48--50,Quintal,4800--4800, 07/06/2016
11,Foodgrains,Boro-HYV-Fine,Kilogram,39--42,Quintal,4025--4025, 07/06/2016
12,Foodgrains,Boro-HYV-Medium,Kilogram,32--35,Quintal,3278--3278, 07/06/2016
13,Foodgrains,Aman-HYV-Coarse,Kilogram,24--25,Quintal,2427--2427, 07/06/2016
14,Foodgrains,Aman-HYV-Fine,Kilogram,42--45,Quintal,, 07/06/2016
15,Foodgrains,Boro-HYV-Coarse,Kilogram,28--30,Quintal,2607--2607, 07/06/2016
16,Foodgrains,Aman-HYV-Medium,Kilogram,35--36,Quintal,2800--2800, 07/06/2016
17,Foodgrains,Aus-HYV-Coarse,Kilogram,,Quintal,2500--2500, 07/06/2016
18,Foodgrains,Boro-Local,Kilogram,27--28,Quintal,2633--2633, 07/06/2016
19,Foodgrains,Local-White,Kilogram,21--22,Quintal,2050--2050, 07/06/2016
20,Foodgrains,Imported-White,Kilogram,21--22,Quintal,2000--2000, 07/06/2016
21,Foodgrains,Ata (loose) - white,Kilogram,23--24,Quintal,2104--2104, 07/06/2016
22,Foodgrains,Ata (packet),Kilogram,30--32,Quintal,2938--2938, 07/06/2016
23,Foodgrains,Ata (O. M. S.),Kilogram,17--17,Quintal,, 07/06/2016
24,Foodgrains,Ata (loose) - red,Kilogram,21--22,Quintal,1900--1900, 07/06/2016
25,Foodgrains,Flour (loose),Kilogram,30--33,Quintal,2831--2831, 07/06/2016
26,Foodgrains,Flour-Suji,Kilogram,48--50,Quintal,4400--4400, 07/06/2016
27,Foodgrains,Flour (packet),Kilogram,39--40,Quintal,3800--3800, 07/06/2016
28,Foodgrains,Maize,Kilogram,16--18,Quintal,1450--1450, 07/06/2016
29,Foodgrains,Chinigura,Kilogram,90--94,Quintal,8814--8814, 07/06/2016
30,Foodgrains,Kalojira,Kilogram,83--88,Quintal,8367--8367, 07/06/2016
31,Foodgrains,Kataribhog,Kilogram,50--55,Quintal,5967--5967, 07/06/2016
32,Foodgrains,Pajam,Kilogram,60--65,Quintal,3300--3300, 07/06/2016
33,Foodgrains,Muri,Kilogram,48--55,Quintal,4550--4550, 07/06/2016
34,Foodgrains,Chira,Kilogram,33--36,Quintal,3300--3300, 07/06/2016
35,Dal,Small Mung (Local) - Superior quality,Kilogram,97--105,Quintal,10000--10000, 07/06/2016
36,Dal,Small Mung (Local) - Ordinary,Kilogram,85--90,Quintal,7200--7200, 07/06/2016
