Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Boro-Fine,Kilogram,,Quintal,2040--2040, 12/05/2016
2,Foodgrains,Aman-HYV-Medium,Kilogram,,Quintal,1530--1530, 12/05/2016
3,Foodgrains,Boro-Medium,Kilogram,,Quintal,1770--1770, 12/05/2016
4,Foodgrains,Aman-HYV-Coarse,Kilogram,,Quintal,1665--1665, 12/05/2016
5,Foodgrains,Aman-Medium,Kilogram,,Quintal,2800--2800, 12/05/2016
6,Foodgrains,Aman-Coarse,Kilogram,24--25,Quintal,2350--2350, 12/05/2016
7,Foodgrains,Aman-Pajam,Kilogram,49--50,Quintal,4800--4800, 12/05/2016
8,Foodgrains,Boro-HYV-Fine,Kilogram,40--43,Quintal,4129--4129, 12/05/2016
9,Foodgrains,O. M. S.,Kilogram,15--15,Quintal,1350--1350, 12/05/2016
10,Foodgrains,Boro-HYV-Medium,Kilogram,34--36,Quintal,3300--3300, 12/05/2016
11,Foodgrains,Aman-HYV-Coarse,Kilogram,22--23,Quintal,2315--2315, 12/05/2016
12,Foodgrains,Boro-HYV-Coarse,Kilogram,22--25,Quintal,2065--2065, 12/05/2016
13,Foodgrains,Aman-HYV-Medium,Kilogram,28--31,Quintal,2800--2800, 12/05/2016
14,Foodgrains,Aus-HYV-Coarse,Kilogram,,Quintal,1840--1840, 12/05/2016
15,Foodgrains,Local-White,Kilogram,21--22,Quintal,2000--2000, 12/05/2016
16,Foodgrains,Imported-White,Kilogram,21--22,Quintal,2000--2000, 12/05/2016
17,Foodgrains,Ata (loose) - white,Kilogram,22--24,Quintal,2086--2086, 12/05/2016
18,Foodgrains,Ata (packet),Kilogram,30--31,Quintal,2910--2910, 12/05/2016
19,Foodgrains,Ata (O. M. S.),Kilogram,18--18,Quintal,1600--1600, 12/05/2016
20,Foodgrains,Ata (loose) - red,Kilogram,22--23,Quintal,2050--2050, 12/05/2016
21,Foodgrains,Flour (loose),Kilogram,28--31,Quintal,2877--2877, 12/05/2016
22,Foodgrains,Flour-Suji,Kilogram,45--47,Quintal,5067--5067, 12/05/2016
23,Foodgrains,Flour (packet),Kilogram,39--40,Quintal,3725--3725, 12/05/2016
24,Foodgrains,Maize,Kilogram,18--19,Quintal,1475--1475, 12/05/2016
25,Foodgrains,Chinigura,Kilogram,93--99,Quintal,9367--9367, 12/05/2016
26,Foodgrains,Kalojira,Kilogram,93--100,Quintal,9450--9450, 12/05/2016
27,Foodgrains,Muri,Kilogram,48--52,Quintal,4600--4600, 12/05/2016
28,Foodgrains,Chira,Kilogram,31--34,Quintal,2800--2800, 12/05/2016
29,Dal,Small Mung (Local) - Superior quality,Kilogram,100--120,Quintal,11000--11000, 12/05/2016
30,Dal,Small Mung (Local) - Ordinary,Kilogram,70--75,Quintal,7000--7000, 12/05/2016
31,Dal,Mash (broken),Kilogram,112--121,Quintal,12300--12300, 12/05/2016
32,Dal,Masur (whole) local,Kilogram,136--140,Quintal,13633--13633, 12/05/2016
33,Dal,Masur (broken) local,Kilogram,120--124,Quintal,11750--11750, 12/05/2016
34,Dal,Masur (Imported) Superior quality,Kilogram,121--125,Quintal,12275--12275, 12/05/2016
35,Dal,Masur (Imported) ordinary,Kilogram,101--109,Quintal,10260--10260, 12/05/2016
36,Dal,Mung (local),Kilogram,,Quintal,11000--11000, 12/05/2016
