Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aman-Local-Fine,Kilogram,,Quintal,2200--2200, 30/07/2014
2,Foodgrains,Aman-Local-Medium,Kilogram,,Quintal,2100--2100, 30/07/2014
3,Foodgrains,Aman-Local-Coarse,Kilogram,,Quintal,1900--1900, 30/07/2014
4,Foodgrains,Boro-Fine,Kilogram,,Quintal,2167--2167, 30/07/2014
5,Foodgrains,Boro-Medium,Kilogram,22--23,Quintal,2045--2045, 30/07/2014
6,Foodgrains,Boro Coarse,Kilogram,20--21,Quintal,1858--1858, 30/07/2014
7,Foodgrains,Aman-Medium,Kilogram,34--35,Quintal,3350--3350, 30/07/2014
8,Foodgrains,Aman-Pajam,Kilogram,46--51,Quintal,4600--4600, 30/07/2014
9,Foodgrains,Boro-HYV-Fine,Kilogram,43--45,Quintal,4371--4371, 30/07/2014
10,Foodgrains,Boro-Pajam,Kilogram,45--53,Quintal,5100--5100, 30/07/2014
11,Foodgrains,Atap,Kilogram,30--32,Quintal,3000--3000, 30/07/2014
12,Foodgrains,Boro-HYV-Medium,Kilogram,36--39,Quintal,3670--3670, 30/07/2014
13,Foodgrains,Aman-HYV-Coarse,Kilogram,33--35,Quintal,3260--3260, 30/07/2014
14,Foodgrains,Aman-HYV-Fine,Kilogram,45--47,Quintal,4307--4307, 30/07/2014
15,Foodgrains,Boro-HYV-Coarse,Kilogram,33--34,Quintal,3206--3206, 30/07/2014
16,Foodgrains,Aman-HYV-Medium,Kilogram,37--40,Quintal,3655--3655, 30/07/2014
17,Foodgrains,Local-Red,Kilogram,,Quintal,2250--2250, 30/07/2014
18,Foodgrains,Local-White,Kilogram,25--26,Quintal,2467--2467, 30/07/2014
19,Foodgrains,Imported-Red,Kilogram,28--30,Quintal,2400--2400, 30/07/2014
20,Foodgrains,Imported-White,Kilogram,28--30,Quintal,2713--2713, 30/07/2014
21,Foodgrains,Ata (loose) - white,Kilogram,29--30,Quintal,2720--2720, 30/07/2014
22,Foodgrains,Ata (packet),Kilogram,34--36,Quintal,3313--3313, 30/07/2014
23,Foodgrains,Ata (loose) - red,Kilogram,28--29,Quintal,2633--2633, 30/07/2014
24,Foodgrains,Flour (loose),Kilogram,35--38,Quintal,3555--3555, 30/07/2014
25,Foodgrains,Flour-Suji,Kilogram,49--51,Quintal,4583--4583, 30/07/2014
26,Foodgrains,Flour (packet),Kilogram,41--43,Quintal,4067--4067, 30/07/2014
27,Foodgrains,Maize,Kilogram,21--23,Quintal,1725--1725, 30/07/2014
28,Foodgrains,Chinigura,Kilogram,79--85,Quintal,8171--8171, 30/07/2014
29,Foodgrains,Kalojira,Kilogram,81--87,Quintal,8040--8040, 30/07/2014
30,Foodgrains,Kataribhog,Kilogram,71--74,Quintal,6980--6980, 30/07/2014
31,Foodgrains,Pajam,Kilogram,45--47,Quintal,4350--4350, 30/07/2014
32,Foodgrains,Muri,Kilogram,56--64,Quintal,5689--5689, 30/07/2014
33,Foodgrains,Chira,Kilogram,40--43,Quintal,3867--3867, 30/07/2014
34,Dal,Mash (whole),Kilogram,86--88,Quintal,8175--8175, 30/07/2014
35,Dal,Mash (broken),Kilogram,80--83,Quintal,7675--7675, 30/07/2014
36,Dal,Masur (whole) local,Kilogram,102--106,Quintal,9782--9782, 30/07/2014
37,Dal,Masur (broken) local,Kilogram,80--84,Quintal,8171--8171, 30/07/2014
