Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aman-HYV-Medium,Kilogram,36--38,Quintal,3600--3600, 03/08/2015
2,Foodgrains,Aman-HYV-Fine,Kilogram,46--50,Quintal,4800--4800, 03/08/2015
3,Foodgrains,Boro-Medium,Kilogram,30--33,Quintal,3000--3000, 03/08/2015
4,Foodgrains,Boro Coarse,Kilogram,26--27,Quintal,2400--2400, 03/08/2015
5,Foodgrains,Aman-Medium,Kilogram,33--32,Quintal,3600--3600, 03/08/2015
6,Foodgrains,Aman-Pajam,Kilogram,44--45,Quintal,, 03/08/2015
7,Foodgrains,Boro-HYV-Medium,Kilogram,30--33,Quintal,3000--3000, 03/08/2015
8,Foodgrains,Aman-HYV-Coarse,Kilogram,30--32,Quintal,, 03/08/2015
9,Foodgrains,Aman-HYV-Fine,Kilogram,45--48,Quintal,4600--4600, 03/08/2015
10,Foodgrains,Boro-HYV-Coarse,Kilogram,26--27,Quintal,2600--2600, 03/08/2015
11,Foodgrains,Aman-HYV-Medium,Kilogram,36--38,Quintal,3600--3600, 03/08/2015
12,Foodgrains,Local-White,Kilogram,,Quintal,2600--2600, 03/08/2015
13,Foodgrains,Ata (loose) - white,Kilogram,25--28,Quintal,2500--2500, 03/08/2015
14,Foodgrains,Ata (packet),Kilogram,32--34,Quintal,3253--3253, 03/08/2015
15,Foodgrains,Ata (loose) - red,Kilogram,26--27,Quintal,, 03/08/2015
16,Foodgrains,Flour (loose),Kilogram,33--39,Quintal,3550--3550, 03/08/2015
17,Foodgrains,Flour-Suji,Kilogram,40--44,Quintal,4500--4500, 03/08/2015
18,Foodgrains,Flour (packet),Kilogram,45--47,Quintal,4400--4400, 03/08/2015
19,Foodgrains,Chinigura,Kilogram,79--85,Quintal,8550--8550, 03/08/2015
20,Foodgrains,Kalojira,Kilogram,75--81,Quintal,8100--8100, 03/08/2015
21,Foodgrains,Kataribhog,Kilogram,68--70,Quintal,7000--7000, 03/08/2015
22,Foodgrains,Muri,Kilogram,40--44,Quintal,3700--3700, 03/08/2015
23,Foodgrains,Chira,Kilogram,28--30,Quintal,2800--2800, 03/08/2015
24,Dal,Mash (whole),Kilogram,95--100,Quintal,10000--10000, 03/08/2015
25,Dal,Mash (broken),Kilogram,96--100,Quintal,9200--9200, 03/08/2015
26,Dal,Masur (whole) local,Kilogram,115--120,Quintal,, 03/08/2015
27,Dal,Masur (broken) local,Kilogram,84--88,Quintal,9250--9250, 03/08/2015
28,Dal,Masur (Imported) Superior quality,Kilogram,412--482,Quintal,11733--11733, 03/08/2015
29,Dal,Masur (Imported) ordinary,Kilogram,87--92,Quintal,9100--9100, 03/08/2015
30,Dal,Mung (local),Kilogram,115--130,Quintal,10750--10750, 03/08/2015
31,Dal,Mung (imported),Kilogram,105--113,Quintal,, 03/08/2015
32,Dal,Gram (whole),Kilogram,63--67,Quintal,5600--5600, 03/08/2015
33,Dal,Gram (broken),Kilogram,64--68,Quintal,6900--6900, 03/08/2015
34,Dal,Motar (Peas)-Imported,Kilogram,44--48,Quintal,4600--4600, 03/08/2015
35,Dal,Khesari,Kilogram,47--49,Quintal,4800--4800, 03/08/2015
36,Oil,Mustard Oil (Local) - Superior quality,Liter,130--140,100 Liters,13000--13000, 03/08/2015
37,Oil,Mustard Oil (Local) - Ordinary,Liter,120--133,100 Liters,12000--12000, 03/08/2015
38,Oil,Soybean Oil(loose),Liter,78--79,100 Liters,7467--7467, 03/08/2015
39,Oil,Palm Oil,Liter,63--65,100 Liters,6333--6333, 03/08/2015
40,Oil,Vegetable Ghee,Liter,,100 Liters,6200--6200, 03/08/2015
41,Oil,Coconut Oil (local),Liter,280--280,100 Liters,26000--26000, 03/08/2015
42,Oil,Coconut  Oil (Imported) - Superior Quality,Liter,350--350,100 Liters,33000--33000, 03/08/2015
43,Spices,Dried Chili (Bogra/Rangpur) - Superior,Kilogram,120--130,Quintal,130--130, 03/08/2015
44,Spices,Dried Chili (Local) - Superior,Kilogram,150--160,Quintal,12000--12000, 03/08/2015
45,Spices,Turmeric (Local) - Round (Superior),Kilogram,160--165,Quintal,16000--16000, 03/08/2015
46,Spices,Turmeric (Local) - Long (Superior),Kilogram,160--165,Quintal,16000--16000, 03/08/2015
47,Spices,Turmeric (Local) - Round (Ordinary),Kilogram,140--150,Quintal,15000--15000, 03/08/2015
48,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,140--150,Quintal,15000--15000, 03/08/2015
49,Spices,Dried Chili (Bogra/Rangpur) - Ordinary,Kilogram,140--150,Quintal,13500--13500, 03/08/2015
50,Spices,Dried Chili (Local) - Ordinary,Kilogram,100--110,Quintal,15000--15000, 03/08/2015
51,Spices,Coriander Seed (Old),Kilogram,120--130,Quintal,11500--11500, 03/08/2015
52,Spices,Onion (local),Kilogram,53--57,Quintal,5033--5033, 03/08/2015
53,Spices,Onion-imported,Kilogram,48--50,Quintal,4833--4833, 03/08/2015
54,Spices,Garlic (local) - Big Size,Kilogram,50--60,Quintal,5333--5333, 03/08/2015
55,Spices,Garlic (Imported),Kilogram,100--110,Quintal,10000--10000, 03/08/2015
56,Spices,Green Chili (Local),Kilogram,80--97,Quintal,6167--6167, 03/08/2015
57,Spices,Ginger (local) - Old,Kilogram,125--140,Quintal,11500--11500, 03/08/2015
58,Spices,Ginger (local) - New,Kilogram,,Quintal,7500--7500, 03/08/2015
59,Spices,Ginger (Imported),Kilogram,100--120,Quintal,9500--9500, 03/08/2015
60,Leather,Goat Leather,1 piece,,100 pieces,6000--6000, 03/08/2015
61,Milk,Cow Milk (liquid),Liter,45--50,100 Liters,4200--4200, 03/08/2015
62,Milk,Ghee (local),Kilogram,1000--1200,Quintal,, 03/08/2015
63,Milk,Dano - Powdered Milk,2 Kg,1160--1165,12 Kg,6940--6940, 03/08/2015
64,Milk,Redcow - Powdered Milk,2 Kg,1125--1130,12 Kg,6920--6920, 03/08/2015
65,Milk,Condensed Milk - Bluecross (1 Carton),1 piece,52--54,48 Pieces,2420--2420, 03/08/2015
66,Milk,Condensed Milk - Danish (1 Carton),1 piece,52--54,48 Pieces,2420--2420, 03/08/2015
67,Poultry,Local Hen - Big (above 900 gm),Kilogram,320--340,Quintal,32000--32000, 03/08/2015
68,Poultry,Local Hen - Medium (700-850 gm),Kilogram,340--350,Quintal,33000--33000, 03/08/2015
69,Poultry,Local Hen - Small (500-650 gm),Kilogram,350--360,Quintal,35000--35000, 03/08/2015
70,Poultry,Farm-raised Hen,Kilogram,135--140,Quintal,12900--12900, 03/08/2015
71,Poultry,Local Duck - Medium (700-850 gm),Kilogram,,Quintal,22000--22000, 03/08/2015
72,Poultry,Local Duck - Small (500-600 gm),Kilogram,,Quintal,18000--18000, 03/08/2015
73,Meat,Beef,Kilogram,337--350,Quintal,34500--34500, 03/08/2015
74,Meat,Mutton (male),Kilogram,500--510,Quintal,49000--49000, 03/08/2015
75,Meat,Mutton (female),Kilogram,420--430,Quintal,42000--42000, 03/08/2015
76,Egg,Egg Farm-Red,4 Pieces,33--34,100 pieces,780--780, 03/08/2015
77,Egg,Egg Farm-White,4 Pieces,27--28,100 pieces,, 03/08/2015
78,Egg,Egg Duck-Local,4 Pieces,36--38,100 pieces,880--880, 03/08/2015
79,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,220--350,Quintal,30000--30000, 03/08/2015
80,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,220--275,Quintal,19000--19000, 03/08/2015
81,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,250--260,Quintal,22000--22000, 03/08/2015
82,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,170--235,Quintal,18000--18000, 03/08/2015
83,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,250--350,Quintal,30000--30000, 03/08/2015
84,Fish,Katla-Small (1.50-2.00 kg),Kilogram,195--250,Quintal,20500--20500, 03/08/2015
85,Fish,Mregal-small,Kilogram,130--200,Quintal,20000--20000, 03/08/2015
86,Fish,Pangash (small),Kilogram,103--115,Quintal,10167--10167, 03/08/2015
87,Fish,Pangash (big),Kilogram,117--123,Quintal,10667--10667, 03/08/2015
88,Fish,Hilsha,Kilogram,550--650,Quintal,60000--60000, 03/08/2015
89,Fish,Kai,Kilogram,190--225,Quintal,22000--22000, 03/08/2015
90,Fish,Magur,Kilogram,550--650,Quintal,65000--65000, 03/08/2015
91,Fish,Singhi,Kilogram,500--520,Quintal,55000--55000, 03/08/2015
92,Fish,Silver Carp,Kilogram,123--187,Quintal,17333--17333, 03/08/2015
93,Fish,Grass carp,Kilogram,135--220,Quintal,20500--20500, 03/08/2015
94,Fish,Telapia/Nilotica,Kilogram,113--147,Quintal,12000--12000, 03/08/2015
95,Fruit,Green-Coconut,1 piece,,100 pieces,1800--1800, 03/08/2015
96,Fruit,Apple,Kilogram,150--160,Quintal,14000--14000, 03/08/2015
97,Fruit,Kalozam (Black Berry),Kilogram,40--45,Quintal,4000--4000, 03/08/2015
98,Fruit,Mango-Guti,Kilogram,65--70,Quintal,4500--4500, 03/08/2015
99,Fruit,Mango-Gopal bhog,Kilogram,40--50,Quintal,3200--3200, 03/08/2015
100,Fruit,Mango-Himsagar,Kilogram,40--50,Quintal,3500--3500, 03/08/2015
101,Fruit,Mango-Langra,Kilogram,50--60,Quintal,3500--3500, 03/08/2015
102,Fruit,Mango-Fazli,Kilogram,40--55,Quintal,5000--5000, 03/08/2015
103,Fruit,Mango-Ashini,Kilogram,45--50,Quintal,2700--2700, 03/08/2015
104,Fruit,Alachi Lemon,1 piece,,100 pieces,280--280, 03/08/2015
105,Fruit,Cagoji Lemon,1 piece,,100 pieces,170--170, 03/08/2015
106,Fruit,Banana-Sabri (ordinary),4 Pieces,17--20,80 Pieces,300--300, 03/08/2015
107,Fruit,Banana-Sagar (high quality),4 Pieces,12--14,80 Pieces,, 03/08/2015
108,Fruit,Banana-Sagar (ordinary),4 Pieces,7--8,80 Pieces,, 03/08/2015
109,Fruit,Khejur (date),Kilogram,100--120,Quintal,9000--9000, 03/08/2015
110,Vegetable,Potato (Local) - Old,Kilogram,29--31,Quintal,2850--2850, 03/08/2015
111,Vegetable,Potato (Holland) - White (Old),Kilogram,19--23,Quintal,2433--2433, 03/08/2015
112,Vegetable,Potato (Holland) - Red (Old),Kilogram,22--23,Quintal,2175--2175, 03/08/2015
113,Vegetable,Brinjal - Superior Quality,Kilogram,39--43,Quintal,3850--3850, 03/08/2015
114,Vegetable,Brinjal - Ordinary Quality,Kilogram,35--39,Quintal,3300--3300, 03/08/2015
115,Vegetable,Patal (Pointed Gourd),Kilogram,30--35,Quintal,2800--2800, 03/08/2015
116,Vegetable,Chalcumra (Water Gourd),1 piece,14--16,100 pieces,1350--1350, 03/08/2015
117,Vegetable,Pumpkin (Sweet Gourd),Kilogram,15--16,Quintal,1400--1400, 03/08/2015
118,Vegetable,Lao (Bottle Gourd),1 piece,10--14,100 pieces,, 03/08/2015
119,Vegetable,Uchehhe (Bitter Gourd),1 KG,40--44,Quintal,4000--4000, 03/08/2015
120,Vegetable,Karalla (Bitter Gourd),Kilogram,60--70,Quintal,3450--3450, 03/08/2015
121,Vegetable,Jhinga (Tasle Gourd),Kilogram,30--35,Quintal,2700--2700, 03/08/2015
122,Vegetable,Green Papaya,Kilogram,20--25,Quintal,1700--1700, 03/08/2015
123,Vegetable,Mukhi Cachue (aroid),Kilogram,34--40,Quintal,2933--2933, 03/08/2015
124,Vegetable,Water Aroid (pani cachhue),4 Pieces,80--100,100 pieces,1800--1800, 03/08/2015
125,Vegetable,Kakroll,Kilogram,35--40,Quintal,3100--3100, 03/08/2015
126,Vegetable,Lady`s Finger (Okra),Kilogram,30--33,Quintal,2450--2450, 03/08/2015
127,Vegetable,Chichinga (Snakegourd),Kilogram,23--27,Quintal,2000--2000, 03/08/2015
128,Vegetable,Dhundol,Kilogram,28--33,Quintal,2600--2600, 03/08/2015
129,Vegetable,Kochur Loti (Aroid succer),Kilogram,22--25,Quintal,2100--2100, 03/08/2015
130,Vegetable,Cucumber-small,Kilogram,21--25,Quintal,2133--2133, 03/08/2015
131,Vegetable,Malabar Spinach (Puisak),Kilogram,14--16,Quintal,, 03/08/2015
132,Others,Sugar (Local),Kilogram,36--37,Quintal,3483--3483, 03/08/2015
133,Others,Iodized Salt (Packed),Kilogram,15--25,Quintal,2100--2100, 03/08/2015
134,Others,Iodized Salt (Loose) - Ordinary,Kilogram,9--10,Quintal,, 03/08/2015
135,Others,Akher Gur (red sugar),Kilogram,50--55,Quintal,5000--5000, 03/08/2015
136,Others,Date Gur (red sugar),Kilogram,55--60,Quintal,, 03/08/2015
137,Fertilizer,Chemical Fertilizer - Urea (Zia),Kilogram,16--16,1 Bag (50kg),780--780, 03/08/2015
138,Fertilizer,Chemical Fertilizer - T. S. P. (Imported),Kilogram,22--22,1 Bag (50kg),1080--1080, 03/08/2015
139,Fertilizer,Chemical Fertilizer - M. P (Imported) - China,Kilogram,15--15,1 Bag (50kg),740--740, 03/08/2015
140,Fertilizer,Chemical Fertilizer - Gypsum (Local),Kilogram,5--6,1 Bag (50kg),, 03/08/2015
