Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aman-Local-Medium,Kilogram,,Quintal,1700--1700, 04/05/2016
2,Foodgrains,Aman-Pajam,Kilogram,,Quintal,2200--2200, 04/05/2016
3,Foodgrains,Boro-Fine,Kilogram,,Quintal,1670--1670, 04/05/2016
4,Foodgrains,Aman-HYV-Medium,Kilogram,,Quintal,1530--1530, 04/05/2016
5,Foodgrains,Boro-Medium,Kilogram,,Quintal,1490--1490, 04/05/2016
6,Foodgrains,Boro Coarse,Kilogram,,Quintal,1000--1000, 04/05/2016
7,Foodgrains,Aman-HYV-Coarse,Kilogram,,Quintal,1665--1665, 04/05/2016
8,Foodgrains,Aman-Super-Fine,Kilogram,40--52,Quintal,, 04/05/2016
9,Foodgrains,Aman-Fine,Kilogram,,Quintal,4800--4800, 04/05/2016
10,Foodgrains,Aman-Medium,Kilogram,29--31,Quintal,2925--2925, 04/05/2016
11,Foodgrains,Aman-Coarse,Kilogram,23--24,Quintal,2300--2300, 04/05/2016
12,Foodgrains,Aman-Pajam,Kilogram,39--40,Quintal,3600--3600, 04/05/2016
13,Foodgrains,Boro-HYV-Fine,Kilogram,40--43,Quintal,4133--4133, 04/05/2016
14,Foodgrains,O. M. S.,Kilogram,15--15,Quintal,1350--1350, 04/05/2016
15,Foodgrains,Boro-HYV-Medium,Kilogram,33--35,Quintal,3327--3327, 04/05/2016
16,Foodgrains,Aman-HYV-Coarse,Kilogram,23--24,Quintal,2238--2238, 04/05/2016
17,Foodgrains,Aman-HYV-Fine,Kilogram,38--42,Quintal,3800--3800, 04/05/2016
18,Foodgrains,O. M. S. Coarse,Kilogram,15--15,Quintal,1300--1300, 04/05/2016
19,Foodgrains,Boro-HYV-Coarse,Kilogram,21--24,Quintal,2387--2387, 04/05/2016
20,Foodgrains,Aman-HYV-Medium,Kilogram,31--32,Quintal,2767--2767, 04/05/2016
21,Foodgrains,Aus-HYV-Coarse,Kilogram,,Quintal,1840--1840, 04/05/2016
22,Foodgrains,Boro-Local,Kilogram,32--35,Quintal,3300--3300, 04/05/2016
23,Foodgrains,Local-White,Kilogram,22--23,Quintal,1967--1967, 04/05/2016
24,Foodgrains,Imported-White,Kilogram,21--22,Quintal,2000--2000, 04/05/2016
25,Foodgrains,Ata (loose) - white,Kilogram,23--24,Quintal,2147--2147, 04/05/2016
26,Foodgrains,Ata (packet),Kilogram,30--32,Quintal,2901--2901, 04/05/2016
27,Foodgrains,Ata (O. M. S.),Kilogram,18--18,Quintal,1600--1600, 04/05/2016
28,Foodgrains,Ata (loose) - red,Kilogram,22--23,Quintal,2050--2050, 04/05/2016
29,Foodgrains,Flour (loose),Kilogram,31--32,Quintal,2845--2845, 04/05/2016
30,Foodgrains,Flour-Suji,Kilogram,41--43,Quintal,4204--4204, 04/05/2016
31,Foodgrains,Flour (packet),Kilogram,39--40,Quintal,3475--3475, 04/05/2016
32,Foodgrains,Maize,Kilogram,16--18,Quintal,1425--1425, 04/05/2016
33,Foodgrains,Chinigura,Kilogram,85--90,Quintal,9120--9120, 04/05/2016
34,Foodgrains,Kalojira,Kilogram,83--87,Quintal,8400--8400, 04/05/2016
35,Foodgrains,Kataribhog,Kilogram,72--75,Quintal,7000--7000, 04/05/2016
36,Foodgrains,Pajam,Kilogram,60--65,Quintal,, 04/05/2016
37,Foodgrains,Muri,Kilogram,44--52,Quintal,4700--4700, 04/05/2016
38,Foodgrains,Chira,Kilogram,29--30,Quintal,2430--2430, 04/05/2016
39,Dal,Small Mung (Local) - Superior quality,Kilogram,100--112,Quintal,10200--10200, 04/05/2016
40,Dal,Small Mung (Local) - Ordinary,Kilogram,70--78,Quintal,7067--7067, 04/05/2016
41,Dal,Mash (whole),Kilogram,90--92,Quintal,, 04/05/2016
42,Dal,Mash (broken),Kilogram,104--115,Quintal,10820--10820, 04/05/2016
43,Dal,Masur (whole) local,Kilogram,137--140,Quintal,13390--13390, 04/05/2016
44,Dal,Masur (broken) local,Kilogram,112--118,Quintal,11181--11181, 04/05/2016
45,Dal,Masur (Imported) Superior quality,Kilogram,128--132,Quintal,12486--12486, 04/05/2016
46,Dal,Masur (Imported) ordinary,Kilogram,100--106,Quintal,9900--9900, 04/05/2016
47,Dal,Mung (local),Kilogram,104--119,Quintal,11050--11050, 04/05/2016
48,Dal,Mung (imported),Kilogram,84--87,Quintal,6700--6700, 04/05/2016
49,Dal,Gram (whole),Kilogram,76--81,Quintal,7575--7575, 04/05/2016
50,Dal,Gram (broken),Kilogram,87--98,Quintal,8750--8750, 04/05/2016
51,Dal,Motar (Peas)-Imported,Kilogram,44--48,Quintal,, 04/05/2016
52,Dal,Motar (Peas)-local,Kilogram,,Quintal,10800--10800, 04/05/2016
53,Dal,Khesari,Kilogram,63--65,Quintal,6680--6680, 04/05/2016
54,Dal,Felon,Kilogram,46--48,Quintal,4200--4200, 04/05/2016
55,Oil Seed,Mustard,Kilogram,44--47,Quintal,4175--4175, 04/05/2016
56,Oil Seed,Til(Sesame),Kilogram,120--130,Quintal,11000--11000, 04/05/2016
57,Oil Seed,Ground Nut,Kilogram,74--76,Quintal,7000--7000, 04/05/2016
58,Oil Seed,Soybean,Kilogram,80--82,Quintal,7600--7600, 04/05/2016
59,Oil,Mustard Oil (Local) - Superior quality,Liter,122--130,100 Liters,12720--12720, 04/05/2016
60,Oil,Mustard Oil (Local) - Ordinary,Liter,107--113,100 Liters,10520--10520, 04/05/2016
61,Oil,Soybean Oil(loose),Liter,79--81,100 Liters,7735--7735, 04/05/2016
62,Oil,Ground Nut Oil,Liter,68--70,100 Liters,, 04/05/2016
63,Oil,Palm Oil,Liter,65--67,100 Liters,6379--6379, 04/05/2016
64,Oil,Vegetable Ghee,Liter,87--89,100 Liters,8470--8470, 04/05/2016
65,Oil,Coconut Oil (local),Liter,184--224,100 Liters,22083--22083, 04/05/2016
66,Oil,Coconut  Oil (Imported) - Superior Quality,Liter,240--250,100 Liters,23000--23000, 04/05/2016
67,Oil,Coconut Oil (Imported) - Ordinary,Liter,160--170,100 Liters,, 04/05/2016
68,Oil Cake,Oil Cake - Mustard,Kilogram,32--33,Quintal,3050--3050, 04/05/2016
69,Spices,Black Pepper(Golmorich),10 gm,10--12,Kilogram,960--960, 04/05/2016
70,Spices,Clove(Lobonga),10 gm,12--14,Kilogram,1200--1200, 04/05/2016
