Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aman-Local-Fine,Kilogram,,Quintal,1600--1600, 19/06/2016
2,Foodgrains,Aman-Local-Medium,Kilogram,,Quintal,1450--1450, 19/06/2016
3,Foodgrains,Boro-Fine,Kilogram,,Quintal,1820--1820, 19/06/2016
4,Foodgrains,Aman-HYV-Medium,Kilogram,,Quintal,1530--1530, 19/06/2016
5,Foodgrains,Boro-Medium,Kilogram,15--15,Quintal,1540--1540, 19/06/2016
6,Foodgrains,Boro Coarse,Kilogram,,Quintal,1250--1250, 19/06/2016
7,Foodgrains,Aman-HYV-Coarse,Kilogram,,Quintal,1665--1665, 19/06/2016
8,Foodgrains,Boro-Local,Kilogram,13--13,Quintal,1300--1300, 19/06/2016
9,Foodgrains,Aman-Medium,Kilogram,27--29,Quintal,3400--3400, 19/06/2016
10,Foodgrains,Aman-Coarse,Kilogram,27--28,Quintal,2875--2875, 19/06/2016
11,Foodgrains,Boro-HYV-Fine,Kilogram,39--43,Quintal,4064--4064, 19/06/2016
12,Foodgrains,Boro-HYV-Medium,Kilogram,31--34,Quintal,3167--3167, 19/06/2016
13,Foodgrains,Aman-HYV-Coarse,Kilogram,23--25,Quintal,2306--2306, 19/06/2016
14,Foodgrains,Aman-HYV-Fine,Kilogram,38--46,Quintal,4200--4200, 19/06/2016
15,Foodgrains,Boro-HYV-Coarse,Kilogram,26--28,Quintal,2411--2411, 19/06/2016
16,Foodgrains,Aman-HYV-Medium,Kilogram,29--33,Quintal,2920--2920, 19/06/2016
17,Foodgrains,Aus-HYV-Coarse,Kilogram,,Quintal,2500--2500, 19/06/2016
18,Foodgrains,Boro-Local,Kilogram,27--29,Quintal,2633--2633, 19/06/2016
19,Foodgrains,Local-White,Kilogram,23--24,Quintal,1950--1950, 19/06/2016
20,Foodgrains,Imported-White,Kilogram,21--22,Quintal,2000--2000, 19/06/2016
21,Foodgrains,Ata (loose) - white,Kilogram,23--24,Quintal,2140--2140, 19/06/2016
22,Foodgrains,Ata (packet),Kilogram,30--32,Quintal,2927--2927, 19/06/2016
23,Foodgrains,Ata (O. M. S.),Kilogram,17--17,Quintal,, 19/06/2016
24,Foodgrains,Ata (loose) - red,Kilogram,21--22,Quintal,1900--1900, 19/06/2016
25,Foodgrains,Flour (loose),Kilogram,30--32,Quintal,2891--2891, 19/06/2016
