Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aman-Local-Fine,Kilogram,,Quintal,1950--1950, 23/02/2014
2,Foodgrains,Aman-Local-Medium,Kilogram,,Quintal,2167--2167, 23/02/2014
3,Foodgrains,Aman-Local-Coarse,Kilogram,,Quintal,2031--2031, 23/02/2014
4,Foodgrains,Aman-Pajam,Kilogram,,Quintal,2500--2500, 23/02/2014
5,Foodgrains,Aman-HYV-Medium,Kilogram,20--20,Quintal,2217--2217, 23/02/2014
6,Foodgrains,Aman-HYV-Fine,Kilogram,19--20,Quintal,2308--2308, 23/02/2014
7,Foodgrains,Boro-Medium,Kilogram,,Quintal,3325--3325, 23/02/2014
8,Foodgrains,Boro Coarse,Kilogram,,Quintal,2875--2875, 23/02/2014
9,Foodgrains,Aman-HYV-Coarse,Kilogram,,Quintal,2017--2017, 23/02/2014
10,Foodgrains,Aman-Super-Fine,Kilogram,50--53,Quintal,, 23/02/2014
11,Foodgrains,Aman-Fine,Kilogram,44--46,Quintal,4163--4163, 23/02/2014
12,Foodgrains,Aman-Medium,Kilogram,39--42,Quintal,3930--3930, 23/02/2014
13,Foodgrains,Aman-Coarse,Kilogram,32--34,Quintal,3177--3177, 23/02/2014
14,Foodgrains,Aman-Pajam,Kilogram,44--48,Quintal,4450--4450, 23/02/2014
15,Foodgrains,Boro-HYV-Fine,Kilogram,46--48,Quintal,4546--4546, 23/02/2014
16,Foodgrains,Atap,Kilogram,32--35,Quintal,3123--3123, 23/02/2014
17,Foodgrains,Boro-HYV-Medium,Kilogram,40--42,Quintal,3893--3893, 23/02/2014
18,Foodgrains,Aman-HYV-Coarse,Kilogram,33--35,Quintal,3137--3137, 23/02/2014
19,Foodgrains,Aman-HYV-Fine,Kilogram,45--48,Quintal,4485--4485, 23/02/2014
20,Foodgrains,Boro-HYV-Coarse,Kilogram,33--35,Quintal,3196--3196, 23/02/2014
21,Foodgrains,Aman-HYV-Medium,Kilogram,37--39,Quintal,3650--3650, 23/02/2014
22,Foodgrains,Boro-Local,Kilogram,32--34,Quintal,3233--3233, 23/02/2014
23,Foodgrains,Local-White,Kilogram,26--27,Quintal,2500--2500, 23/02/2014
24,Foodgrains,Ata (loose) - white,Kilogram,31--32,Quintal,2941--2941, 23/02/2014
25,Foodgrains,Ata (packet),Kilogram,36--38,Quintal,3505--3505, 23/02/2014
26,Foodgrains,Ata (loose) - red,Kilogram,28--29,Quintal,2621--2621, 23/02/2014
27,Foodgrains,Flour (loose),Kilogram,38--40,Quintal,3705--3705, 23/02/2014
28,Foodgrains,Flour-Suji,Kilogram,49--51,Quintal,4540--4540, 23/02/2014
29,Foodgrains,Flour (packet),Kilogram,44--46,Quintal,4288--4288, 23/02/2014
30,Foodgrains,Maize,Kilogram,29--30,Quintal,2000--2000, 23/02/2014
31,Foodgrains,Chinigura,Kilogram,92--96,Quintal,12168--12168, 23/02/2014
32,Foodgrains,Kalojira,Kilogram,82--87,Quintal,7760--7760, 23/02/2014
33,Foodgrains,Kataribhog,Kilogram,968--986,Quintal,5800--5800, 23/02/2014
34,Foodgrains,Pajam,Kilogram,45--48,Quintal,4300--4300, 23/02/2014
35,Foodgrains,Muri,Kilogram,53--60,Quintal,5392--5392, 23/02/2014
36,Foodgrains,Chira,Kilogram,39--42,Quintal,3732--3732, 23/02/2014
37,Dal,Small Mung (Local) - Superior quality,Kilogram,,Quintal,13400--13400, 23/02/2014
