Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aman-Local-Fine,Kilogram,,Quintal,1950--1950, 23/10/2013
2,Foodgrains,Aman-Local-Medium,Kilogram,,Quintal,1825--1825, 23/10/2013
3,Foodgrains,Aman-Local-Coarse,Kilogram,,Quintal,1693--1693, 23/10/2013
4,Foodgrains,Aus-HYV-Coarse,Kilogram,,Quintal,1834--1834, 23/10/2013
5,Foodgrains,Aus-HYV-Medium,Kilogram,,Quintal,2080--2080, 23/10/2013
6,Foodgrains,Boro-Fine,Kilogram,,Quintal,2330--2330, 23/10/2013
7,Foodgrains,Boro-Medium,Kilogram,,Quintal,2137--2137, 23/10/2013
8,Foodgrains,Boro Coarse,Kilogram,,Quintal,1921--1921, 23/10/2013
9,Foodgrains,Aus-Local,Kilogram,,Quintal,1988--1988, 23/10/2013
10,Foodgrains,Boro-Local,Kilogram,,Quintal,1933--1933, 23/10/2013
11,Foodgrains,Aman-Fine,Kilogram,45--47,Quintal,4433--4433, 23/10/2013
12,Foodgrains,Aman-Medium,Kilogram,36--37,Quintal,3700--3700, 23/10/2013
13,Foodgrains,Aman-Coarse,Kilogram,38--40,Quintal,3513--3513, 23/10/2013
14,Foodgrains,Aman-Pajam,Kilogram,42--47,Quintal,4333--4333, 23/10/2013
15,Foodgrains,Boro-HYV-Fine,Kilogram,42--45,Quintal,4209--4209, 23/10/2013
16,Foodgrains,Boro-Pajam,Kilogram,47--52,Quintal,5000--5000, 23/10/2013
17,Foodgrains,Atap,Kilogram,31--33,Quintal,2950--2950, 23/10/2013
18,Foodgrains,Boro-HYV-Medium,Kilogram,36--39,Quintal,3636--3636, 23/10/2013
19,Foodgrains,Aman-HYV-Coarse,Kilogram,31--33,Quintal,2875--2875, 23/10/2013
20,Foodgrains,Aman-HYV-Fine,Kilogram,45--49,Quintal,4610--4610, 23/10/2013
21,Foodgrains,O. M. S. Coarse,Kilogram,24--24,Quintal,, 23/10/2013
22,Foodgrains,Boro-HYV-Coarse,Kilogram,31--33,Quintal,3068--3068, 23/10/2013
23,Foodgrains,Aman-HYV-Medium,Kilogram,36--39,Quintal,3490--3490, 23/10/2013
24,Foodgrains,Aus-HYV-Medium,Kilogram,35--36,Quintal,3390--3390, 23/10/2013
25,Foodgrains,Aus-HYV-Coarse,Kilogram,32--33,Quintal,2950--2950, 23/10/2013
26,Foodgrains,Aus-Local,Kilogram,33--34,Quintal,3200--3200, 23/10/2013
27,Foodgrains,Boro-Local,Kilogram,,Quintal,3050--3050, 23/10/2013
