Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aman-Local-Fine,Kilogram,,Quintal,1250--1250, 02/06/2016
2,Foodgrains,Aman-Local-Medium,Kilogram,,Quintal,1450--1450, 02/06/2016
3,Foodgrains,Boro-Fine,Kilogram,1350--1400,Quintal,1680--1680, 02/06/2016
4,Foodgrains,Aman-HYV-Medium,Kilogram,,Quintal,1590--1590, 02/06/2016
5,Foodgrains,Boro-Medium,Kilogram,658--670,Quintal,1461--1461, 02/06/2016
6,Foodgrains,Boro Coarse,Kilogram,950--1000,Quintal,1125--1125, 02/06/2016
7,Foodgrains,Aman-HYV-Coarse,Kilogram,,Quintal,1665--1665, 02/06/2016
8,Foodgrains,Boro-Local,Kilogram,13--13,Quintal,1650--1650, 02/06/2016
9,Foodgrains,Aman-Medium,Kilogram,30--32,Quintal,3500--3500, 02/06/2016
10,Foodgrains,Aman-Coarse,Kilogram,26--27,Quintal,2613--2613, 02/06/2016
11,Foodgrains,Boro-HYV-Fine,Kilogram,38--42,Quintal,4010--4010, 02/06/2016
12,Foodgrains,Boro-HYV-Medium,Kilogram,31--34,Quintal,3164--3164, 02/06/2016
13,Foodgrains,Aman-HYV-Coarse,Kilogram,22--24,Quintal,2170--2170, 02/06/2016
14,Foodgrains,Aman-HYV-Fine,Kilogram,37--46,Quintal,4200--4200, 02/06/2016
15,Foodgrains,O. M. S. Coarse,Kilogram,15--15,Quintal,, 02/06/2016
16,Foodgrains,Boro-HYV-Coarse,Kilogram,26--28,Quintal,2410--2410, 02/06/2016
17,Foodgrains,Aman-HYV-Medium,Kilogram,30--34,Quintal,2825--2825, 02/06/2016
18,Foodgrains,Aus-HYV-Coarse,Kilogram,,Quintal,2500--2500, 02/06/2016
19,Foodgrains,Boro-Local,Kilogram,27--29,Quintal,2733--2733, 02/06/2016
20,Foodgrains,Local-White,Kilogram,21--22,Quintal,1913--1913, 02/06/2016
21,Foodgrains,Imported-White,Kilogram,21--22,Quintal,2000--2000, 02/06/2016
22,Foodgrains,Ata (loose) - white,Kilogram,22--24,Quintal,2112--2112, 02/06/2016
23,Foodgrains,Ata (packet),Kilogram,30--32,Quintal,2926--2926, 02/06/2016
24,Foodgrains,Ata (O. M. S.),Kilogram,17--17,Quintal,1600--1600, 02/06/2016
25,Foodgrains,Ata (loose) - red,Kilogram,21--22,Quintal,1900--1900, 02/06/2016
26,Foodgrains,Flour (loose),Kilogram,31--32,Quintal,2802--2802, 02/06/2016
27,Foodgrains,Flour-Suji,Kilogram,40--43,Quintal,4360--4360, 02/06/2016
28,Foodgrains,Flour (packet),Kilogram,37--39,Quintal,3600--3600, 02/06/2016
29,Foodgrains,Maize,Kilogram,16--18,Quintal,1438--1438, 02/06/2016
30,Foodgrains,Chinigura,Kilogram,93--97,Quintal,8650--8650, 02/06/2016
31,Foodgrains,Kalojira,Kilogram,83--87,Quintal,7860--7860, 02/06/2016
32,Foodgrains,Kataribhog,Kilogram,63--72,Quintal,6480--6480, 02/06/2016
33,Foodgrains,Pajam,Kilogram,60--65,Quintal,3300--3300, 02/06/2016
34,Foodgrains,Muri,Kilogram,46--53,Quintal,4375--4375, 02/06/2016
35,Foodgrains,Chira,Kilogram,31--35,Quintal,3070--3070, 02/06/2016
36,Dal,Small Mung (Local) - Superior quality,Kilogram,100--110,Quintal,11750--11750, 02/06/2016
