Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aman-Local-Fine,Kilogram,25--26,Quintal,2650--2650, 04/01/2018
2,Foodgrains,Aman-Local-Medium,Kilogram,25--26,Quintal,2593--2593, 04/01/2018
3,Foodgrains,Aman-Local-Coarse,Kilogram,24--25,Quintal,2311--2311, 04/01/2018
4,Foodgrains,Aman-Pajam,Kilogram,33--34,Quintal,3150--3150, 04/01/2018
5,Foodgrains,Aus-HYV-Coarse,Kilogram,,Quintal,2750--2750, 04/01/2018
6,Foodgrains,Aus-HYV-Medium,Kilogram,,Quintal,2450--2450, 04/01/2018
7,Foodgrains,Boro-Fine,Kilogram,34--34,Quintal,3240--3240, 04/01/2018
8,Foodgrains,Aman-HYV-Medium,Kilogram,25--26,Quintal,2544--2544, 04/01/2018
9,Foodgrains,Aman-HYV-Fine,Kilogram,28--29,Quintal,2663--2663, 04/01/2018
10,Foodgrains,Boro-Medium,Kilogram,28--29,Quintal,2879--2879, 04/01/2018
11,Foodgrains,Boro Coarse,Kilogram,25--26,Quintal,2607--2607, 04/01/2018
12,Foodgrains,Aman-HYV-Coarse,Kilogram,24--25,Quintal,2391--2391, 04/01/2018
13,Foodgrains,Aman-Fine,Kilogram,55--57,Quintal,5450--5450, 04/01/2018
14,Foodgrains,Aman-Medium,Kilogram,45--47,Quintal,4470--4470, 04/01/2018
15,Foodgrains,Aman-Coarse,Kilogram,41--42,Quintal,4015--4015, 04/01/2018
16,Foodgrains,Aman-Pajam,Kilogram,56--60,Quintal,5642--5642, 04/01/2018
17,Foodgrains,Boro-HYV-Fine,Kilogram,57--60,Quintal,5699--5699, 04/01/2018
18,Foodgrains,Boro-Pajam,Kilogram,59--62,Quintal,6000--6000, 04/01/2018
19,Foodgrains,Atap,Kilogram,38--40,Quintal,3700--3700, 04/01/2018
20,Foodgrains,Boro-HYV-Medium,Kilogram,48--51,Quintal,4849--4849, 04/01/2018
21,Foodgrains,Aman-HYV-Coarse,Kilogram,39--40,Quintal,3822--3822, 04/01/2018
22,Foodgrains,Aman-HYV-Fine,Kilogram,53--55,Quintal,5175--5175, 04/01/2018
23,Foodgrains,Boro-HYV-Coarse,Kilogram,40--42,Quintal,3981--3981, 04/01/2018
24,Foodgrains,Aman-HYV-Medium,Kilogram,44--46,Quintal,4362--4362, 04/01/2018
25,Foodgrains,Boro-Local,Kilogram,40--42,Quintal,3900--3900, 04/01/2018
26,Foodgrains,Local-Red,Kilogram,25--26,Quintal,2450--2450, 04/01/2018
27,Foodgrains,Local-White,Kilogram,25--26,Quintal,2388--2388, 04/01/2018
28,Foodgrains,Imported-White,Kilogram,24--25,Quintal,2358--2358, 04/01/2018
29,Foodgrains,Ata (loose) - white,Kilogram,26--27,Quintal,2455--2455, 04/01/2018
30,Foodgrains,Ata (packet),Kilogram,32--40,Quintal,3063--3063, 04/01/2018
31,Foodgrains,Ata (loose) - red,Kilogram,24--25,Quintal,2350--2350, 04/01/2018
32,Foodgrains,Flour (loose),Kilogram,33--35,Quintal,3170--3170, 04/01/2018
33,Foodgrains,Flour-Suji,Kilogram,47--50,Quintal,4413--4413, 04/01/2018
34,Foodgrains,Flour (packet),Kilogram,41--43,Quintal,4002--4002, 04/01/2018
35,Foodgrains,Maize,Kilogram,25--27,Quintal,2350--2350, 04/01/2018
36,Foodgrains,Chinigura,Kilogram,81--86,Quintal,7961--7961, 04/01/2018
37,Foodgrains,Kalojira,Kilogram,81--86,Quintal,7860--7860, 04/01/2018
38,Foodgrains,Kataribhog,Kilogram,65--70,Quintal,6370--6370, 04/01/2018
39,Foodgrains,Pajam,Kilogram,56--60,Quintal,5475--5475, 04/01/2018
40,Foodgrains,Muri,Kilogram,65--76,Quintal,6653--6653, 04/01/2018
41,Foodgrains,Chira,Kilogram,50--54,Quintal,4772--4772, 04/01/2018
42,Dal,Mash (whole),Kilogram,78--83,Quintal,7433--7433, 04/01/2018
43,Dal,Mash (broken),Kilogram,94--99,Quintal,9150--9150, 04/01/2018
44,Dal,Masur (whole) local,Kilogram,95--101,Quintal,9274--9274, 04/01/2018
45,Dal,Masur (broken) local,Kilogram,70--75,Quintal,6905--6905, 04/01/2018
46,Dal,Masur (Imported) Superior quality,Kilogram,86--92,Quintal,8317--8317, 04/01/2018
47,Dal,Masur (Imported) ordinary,Kilogram,65--72,Quintal,6397--6397, 04/01/2018
48,Dal,Mung (local),Kilogram,120--135,Quintal,12497--12497, 04/01/2018
49,Dal,Mung (imported),Kilogram,99--106,Quintal,9768--9768, 04/01/2018
50,Dal,Gram (whole),Kilogram,86--90,Quintal,8355--8355, 04/01/2018
51,Dal,Gram (broken),Kilogram,91--95,Quintal,8843--8843, 04/01/2018
52,Dal,Motar (Peas)-Imported,Kilogram,35--37,Quintal,3062--3062, 04/01/2018
53,Dal,Motar (Peas)-local,Kilogram,96--100,Quintal,9171--9171, 04/01/2018
54,Dal,Khesari,Kilogram,53--57,Quintal,6568--6568, 04/01/2018
55,Dal,Felon,Kilogram,32--36,Quintal,2800--2800, 04/01/2018
56,Oil Seed,Mustard,Kilogram,58--61,Quintal,5532--5532, 04/01/2018
57,Oil Seed,Til(Sesame),Kilogram,100--140,Quintal,12500--12500, 04/01/2018
58,Oil Seed,Ground Nut,Kilogram,65--68,Quintal,6300--6300, 04/01/2018
59,Oil,Mustard Oil (Local) - Superior quality,Liter,132--138,100 Liters,12678--12678, 04/01/2018
60,Oil,Mustard Oil (Local) - Ordinary,Liter,118--125,100 Liters,11440--11440, 04/01/2018
61,Oil,Mustard Oil (Imported),Liter,130--140,100 Liters,12000--12000, 04/01/2018
62,Oil,Soybean Oil(loose),Liter,85--87,100 Liters,8257--8257, 04/01/2018
63,Oil,Ground Nut Oil,Liter,80--85,100 Liters,7500--7500, 04/01/2018
64,Oil,Sunflower,Liter,230--240,100 Liters,, 04/01/2018
