Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aus-HYV-Coarse,Kilogram,17--18,Quintal,1725--1725, 30/09/2018
2,Foodgrains,Aus-HYV-Medium,Kilogram,,Quintal,1450--1450, 30/09/2018
3,Foodgrains,Boro-Fine,Kilogram,23--24,Quintal,2242--2242, 30/09/2018
4,Foodgrains,Aman-HYV-Medium,Kilogram,,Quintal,2198--2198, 30/09/2018
5,Foodgrains,Boro-Medium,Kilogram,20--21,Quintal,2019--2019, 30/09/2018
6,Foodgrains,Boro Coarse,Kilogram,18--19,Quintal,1804--1804, 30/09/2018
7,Foodgrains,Aman-HYV-Coarse,Kilogram,,Quintal,2091--2091, 30/09/2018
8,Foodgrains,Boro-Local,Kilogram,16--17,Quintal,1550--1550, 30/09/2018
9,Foodgrains,Aman-Fine,Kilogram,53--56,Quintal,5278--5278, 30/09/2018
10,Foodgrains,Aman-Medium,Kilogram,41--42,Quintal,3980--3980, 30/09/2018
11,Foodgrains,Aman-Coarse,Kilogram,36--38,Quintal,3567--3567, 30/09/2018
12,Foodgrains,Aman-Pajam,Kilogram,49--53,Quintal,4980--4980, 30/09/2018
13,Foodgrains,Aus-HYV-Fine,Kilogram,50--60,Quintal,5800--5800, 30/09/2018
14,Foodgrains,Boro-HYV-Fine,Kilogram,51--53,Quintal,5078--5078, 30/09/2018
15,Foodgrains,Boro-Pajam,Kilogram,52--62,Quintal,6000--6000, 30/09/2018
16,Foodgrains,Atap,Kilogram,35--36,Quintal,3300--3300, 30/09/2018
17,Foodgrains,Boro-HYV-Medium,Kilogram,40--43,Quintal,4012--4012, 30/09/2018
18,Foodgrains,Aman-HYV-Coarse,Kilogram,36--38,Quintal,3386--3386, 30/09/2018
19,Foodgrains,Aman-HYV-Fine,Kilogram,56--60,Quintal,5533--5533, 30/09/2018
20,Foodgrains,O. M. S. Coarse,Kilogram,40--44,Quintal,3800--3800, 30/09/2018
21,Foodgrains,Boro-HYV-Coarse,Kilogram,35--37,Quintal,3455--3455, 30/09/2018
22,Foodgrains,Aman-HYV-Medium,Kilogram,41--43,Quintal,4017--4017, 30/09/2018
23,Foodgrains,Boro-Local,Kilogram,32--3400,Quintal,3200--3200, 30/09/2018
24,Foodgrains,Local-Red,Kilogram,26--27,Quintal,2500--2500, 30/09/2018
25,Foodgrains,Local-White,Kilogram,25--26,Quintal,2434--2434, 30/09/2018
26,Foodgrains,Imported-White,Kilogram,25--26,Quintal,2440--2440, 30/09/2018
27,Foodgrains,Ata (loose) - white,Kilogram,26--27,Quintal,2467--2467, 30/09/2018
28,Foodgrains,Ata (packet),Kilogram,31--33,Quintal,3045--3045, 30/09/2018
29,Foodgrains,Ata (O. M. S.),Kilogram,17--18,Quintal,1600--1600, 30/09/2018
30,Foodgrains,Ata (loose) - red,Kilogram,25--26,Quintal,2380--2380, 30/09/2018
31,Foodgrains,Flour (loose),Kilogram,33--35,Quintal,3210--3210, 30/09/2018
32,Foodgrains,Flour-Suji,Kilogram,45--47,Quintal,4200--4200, 30/09/2018
33,Foodgrains,Flour (packet),Kilogram,42--44,Quintal,4076--4076, 30/09/2018
34,Foodgrains,Maize,Kilogram,21--23,Quintal,1981--1981, 30/09/2018
35,Foodgrains,Chinigura,Kilogram,85--90,Quintal,8368--8368, 30/09/2018
36,Foodgrains,Kalojira,Kilogram,87--91,Quintal,8367--8367, 30/09/2018
37,Foodgrains,Kataribhog,Kilogram,68--72,Quintal,6610--6610, 30/09/2018
38,Foodgrains,Pajam,Kilogram,52--57,Quintal,5150--5150, 30/09/2018
39,Foodgrains,Muri,Kilogram,65--72,Quintal,6415--6415, 30/09/2018
40,Foodgrains,Chira,Kilogram,47--51,Quintal,4567--4567, 30/09/2018
41,,Groundnut,Kilogram,60--70,Quintal,, 30/09/2018
42,Dal,Mash (whole),Kilogram,71--74,Quintal,6800--6800, 30/09/2018
43,Dal,Mash (broken),Kilogram,70--74,Quintal,6843--6843, 30/09/2018
44,Dal,Masur (whole) local,Kilogram,84--91,Quintal,8253--8253, 30/09/2018
45,Dal,Masur (broken) local,Kilogram,64--69,Quintal,6345--6345, 30/09/2018
46,Dal,Masur (Imported) Superior quality,Kilogram,74--81,Quintal,7265--7265, 30/09/2018
47,Dal,Masur (Imported) ordinary,Kilogram,58--63,Quintal,5503--5503, 30/09/2018
48,Dal,Mung (local),Kilogram,101--113,Quintal,10238--10238, 30/09/2018
49,Dal,Mung (imported),Kilogram,89--94,Quintal,8431--8431, 30/09/2018
50,Dal,Gram (whole),Kilogram,72--77,Quintal,6923--6923, 30/09/2018
51,Dal,Gram (broken),Kilogram,74--78,Quintal,10460--10460, 30/09/2018
52,Dal,Motar (Peas)-Imported,Kilogram,35--37,Quintal,3240--3240, 30/09/2018
53,Dal,Motar (Peas)-local,Kilogram,48--52,Quintal,4360--4360, 30/09/2018
54,Dal,Khesari,Kilogram,45--48,Quintal,4220--4220, 30/09/2018
55,Dal,Felon,Kilogram,35--38,Quintal,3300--3300, 30/09/2018
56,Oil Seed,Mustard,Kilogram,57--60,Quintal,5494--5494, 30/09/2018
57,Oil Seed,Ground Nut,Kilogram,75--83,Quintal,7375--7375, 30/09/2018
58,Oil,Mustard Oil (Local) - Superior quality,Liter,131--137,100 Liters,23620--23620, 30/09/2018
59,Oil,Mustard Oil (Local) - Ordinary,Liter,116--123,100 Liters,11306--11306, 30/09/2018
60,Oil,Mustard Oil (Imported),Liter,130--140,100 Liters,13000--13000, 30/09/2018
61,Oil,Soybean Oil(loose),Liter,84--86,100 Liters,8198--8198, 30/09/2018
62,Oil,Sunflower,Liter,230--240,100 Liters,, 30/09/2018
63,Oil,Palm Oil,Liter,68--71,100 Liters,6638--6638, 30/09/2018
64,Oil,Vegetable Ghee,Liter,227--247,100 Liters,8800--8800, 30/09/2018
65,Oil,Butter Oil,Liter,800--850,100 Liters,, 30/09/2018
66,Oil,Coconut Oil (local),Liter,218--254,100 Liters,23160--23160, 30/09/2018
67,Oil,Coconut  Oil (Imported) - Superior Quality,Liter,306--333,100 Liters,25433--25433, 30/09/2018
68,Oil,Coconut Oil (Imported) - Ordinary,Liter,240--260,100 Liters,22000--22000, 30/09/2018
69,Oil Cake,Oil Cake - Mustard,Kilogram,34--36,Quintal,3310--3310, 30/09/2018
70,Spices,Black Pepper(Golmorich),10 gm,16--20,Kilogram,921--921, 30/09/2018
71,Spices,Clove(Lobonga),10 gm,29--32,Kilogram,1111--1111, 30/09/2018
72,Spices,Cinnamon(Daruchini),10 gm,5--7,Kilogram,300--300, 30/09/2018
73,Spices,Zain,10 gm,3--4,Kilogram,205--205, 30/09/2018
74,Spices,Fennel/Aniseed,10 gm,2--3,Kilogram,130--130, 30/09/2018
75,Spices,Cumin (Seed),10 gm,5--6,Kilogram,384--384, 30/09/2018
76,Spices,Black Cumin (Seed)(Kalozira),10 gm,3--4,Kilogram,216--216, 30/09/2018
77,Spices,Fenugreek(Methi),10 gm,2--3,Kilogram,121--121, 30/09/2018
78,Spices,Dried Chili (Bogra/Rangpur) - Superior,Kilogram,170--185,Quintal,16122--16122, 30/09/2018
79,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Superior,Kilogram,177--192,Quintal,17150--17150, 30/09/2018
80,Spices,Dried Chili (Chittagong) - Superior,Kilogram,220--230,Quintal,20250--20250, 30/09/2018
81,Spices,Dried Chili (Battakandi) - Superior,Kilogram,169--176,Quintal,16500--16500, 30/09/2018
82,Spices,Dried Chili (Local) - Superior,Kilogram,168--177,Quintal,16500--16500, 30/09/2018
83,Spices,Turmeric (Local) - Round (Superior),Kilogram,150--180,Quintal,, 30/09/2018
84,Spices,Turmeric (Local) - Long (Superior),Kilogram,147--158,Quintal,14336--14336, 30/09/2018
85,Spices,Turmeric (Imported),Kilogram,128--137,Quintal,12000--12000, 30/09/2018
86,Spices,Turmeric (Local) - Round (Ordinary),Kilogram,133--138,Quintal,12500--12500, 30/09/2018
87,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,131--138,Quintal,12569--12569, 30/09/2018
88,Spices,Dried Chili (Bogra/Rangpur) - Ordinary,Kilogram,145--156,Quintal,13000--13000, 30/09/2018
89,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,147--154,Quintal,14300--14300, 30/09/2018
90,Spices,Dried Chili (Battakandi) - Ordinary,Kilogram,200--220,Quintal,20000--20000, 30/09/2018
91,Spices,Dried Chili (Imported) - Ordinary,Kilogram,189--204,Quintal,17722--17722, 30/09/2018
92,Spices,Dried Chili (Local) - Ordinary,Kilogram,161--172,Quintal,15327--15327, 30/09/2018
93,Spices,Khoayr (Catechu) - Superior Quality,10 gm,6--7,Kilogram,485--485, 30/09/2018
94,Spices,Coriander Seed (Old),Kilogram,100--110,Quintal,9670--9670, 30/09/2018
95,Spices,Onion (local),Kilogram,42--45,Quintal,3974--3974, 30/09/2018
96,Spices,Onion-imported,Kilogram,25--28,Quintal,2362--2362, 30/09/2018
97,Spices,Onion (New),Kilogram,43--46,Quintal,4143--4143, 30/09/2018
98,Spices,Garlic (local) - Big Size,Kilogram,45--54,Quintal,4422--4422, 30/09/2018
99,Spices,Garlic - One Piece,Kilogram,30--32,Quintal,2800--2800, 30/09/2018
100,Spices,Garlic (Imported),Kilogram,56--64,Quintal,5416--5416, 30/09/2018
101,Spices,Green Chili (Local),Kilogram,55--65,Quintal,4929--4929, 30/09/2018
102,Spices,Ginger (local) - Old,Kilogram,109--121,Quintal,10287--10287, 30/09/2018
103,Spices,Ginger (local) - New,Kilogram,115--128,Quintal,10360--10360, 30/09/2018
104,Spices,Ginger (Imported),Kilogram,111--123,Quintal,10222--10222, 30/09/2018
105,Spices,Cardamom - Big,10 gm,27--31,Kilogram,1600--1600, 30/09/2018
106,Spices,Cardamom - Small,10 gm,38--42,Kilogram,1822--1822, 30/09/2018
107,Spices,Green Chili,,60--80,,6000--6000, 30/09/2018
108,Spices,Dry Chilli,Quintal,167--177,Quintal,15920--15920, 30/09/2018
109,Fibre,Tossa Cotton (Top-bottom),Kilogram,55--65,Quintal,5000--5000, 30/09/2018
110,Fibre,Tossa Cotton (Medium),Kilogram,45--53,Quintal,4500--4500, 30/09/2018
111,Fibre,Tossa Cotton (C-Bottom),Kilogram,52--56,Quintal,5000--5000, 30/09/2018
112,Fibre,Tossa Cotton (Garsat - Average quality),Kilogram,,Quintal,4500--4500, 30/09/2018
113,Fibre,Mesta Cotton (Garsat - Average quality),Kilogram,,Quintal,4400--4400, 30/09/2018
114,Tobacco,Motihar Tobacco - Medium,Kilogram,120--125,Quintal,11000--11000, 30/09/2018
115,Tobacco,Motihar Tobacco - Ordinary,Kilogram,100--110,Quintal,9400--9400, 30/09/2018
116,Tobacco,Virginia Tobacco (Air Cured) DV-1,Kilogram,120--140,Quintal,10000--10000, 30/09/2018
117,Tobacco,Virginia Tobacco (Air Cured) DV-3,Kilogram,140--150,Quintal,11000--11000, 30/09/2018
118,Leather,Calf Leather (Medium) - Salt Mixed,1 piece,660--771,100 pieces,60571--60571, 30/09/2018
119,Leather,Cow Leather (Heavy) - Salt Mixed,1 piece,863--1020,100 pieces,92857--92857, 30/09/2018
120,Leather,Calf Leather - Salt Mixed,1 piece,275--350,100 pieces,32500--32500, 30/09/2018
121,Leather,Cow Leather (Light) - Salt Mixed,1 piece,508--633,100 pieces,83333--83333, 30/09/2018
122,Leather,Buffalo Leather (Heavy),1 piece,900--1100,100 pieces,100000--100000, 30/09/2018
123,Leather,Ram Leather/Sheep Leather,1 piece,33--50,100 pieces,5750--5750, 30/09/2018
124,Leather,Goat Leather,1 piece,39--66,100 pieces,7250--7250, 30/09/2018
125,Milk,Cow Milk (liquid),Liter,65--70,100 Liters,7200--7200, 30/09/2018
126,Milk,Dano - Powdered Milk,2 Kg,1052--1070,12 Kg,6775--6775, 30/09/2018
127,Milk,Redcow - Powdered Milk,2 Kg,1035--1051,12 Kg,7050--7050, 30/09/2018
128,Milk,Anchor - Powdered Milk,2 Kg,925--950,12 Kg,5450--5450, 30/09/2018
129,Milk,Condensed Milk - Goalini (1 Carton),1 piece,47--49,48 Pieces,2203--2203, 30/09/2018
130,Milk,Condensed Milk - Danish (1 Carton),1 piece,47--48,48 Pieces,2189--2189, 30/09/2018
131,Poultry,Local Hen - Big (above 900 gm),Kilogram,326--344,Quintal,32713--32713, 30/09/2018
132,Poultry,Local Hen - Medium (700-850 gm),Kilogram,328--342,Quintal,30795--30795, 30/09/2018
133,Poultry,Local Hen - Small (500-650 gm),Kilogram,324--334,Quintal,32611--32611, 30/09/2018
