Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aus-HYV-Coarse,Kilogram,18--19,Quintal,1750--1750, 17/09/2018
2,Foodgrains,Aus-HYV-Medium,Kilogram,,Quintal,1425--1425, 17/09/2018
3,Foodgrains,Boro-Fine,Kilogram,23--24,Quintal,2299--2299, 17/09/2018
4,Foodgrains,Aman-HYV-Medium,Kilogram,,Quintal,2278--2278, 17/09/2018
5,Foodgrains,Boro-Medium,Kilogram,20--21,Quintal,2039--2039, 17/09/2018
6,Foodgrains,Boro Coarse,Kilogram,19--20,Quintal,1875--1875, 17/09/2018
7,Foodgrains,Aman-HYV-Coarse,Kilogram,,Quintal,2198--2198, 17/09/2018
8,Foodgrains,Boro-Local,Kilogram,17--18,Quintal,1650--1650, 17/09/2018
9,Foodgrains,Aman-Fine,Kilogram,53--57,Quintal,5320--5320, 17/09/2018
10,Foodgrains,Aman-Medium,Kilogram,40--43,Quintal,4005--4005, 17/09/2018
11,Foodgrains,Aman-Coarse,Kilogram,37--39,Quintal,3713--3713, 17/09/2018
12,Foodgrains,Aman-Pajam,Kilogram,49--53,Quintal,5060--5060, 17/09/2018
13,Foodgrains,Aus-HYV-Fine,Kilogram,50--62,Quintal,6000--6000, 17/09/2018
14,Foodgrains,Boro-HYV-Fine,Kilogram,51--54,Quintal,5105--5105, 17/09/2018
15,Foodgrains,Boro-Pajam,Kilogram,54--62,Quintal,6000--6000, 17/09/2018
16,Foodgrains,Atap,Kilogram,35--36,Quintal,3300--3300, 17/09/2018
17,Foodgrains,Boro-HYV-Medium,Kilogram,41--43,Quintal,4061--4061, 17/09/2018
18,Foodgrains,Aman-HYV-Coarse,Kilogram,36--38,Quintal,3499--3499, 17/09/2018
19,Foodgrains,Aman-HYV-Fine,Kilogram,55--59,Quintal,5600--5600, 17/09/2018
20,Foodgrains,O. M. S. Coarse,Kilogram,40--44,Quintal,3900--3900, 17/09/2018
21,Foodgrains,Boro-HYV-Coarse,Kilogram,36--38,Quintal,3502--3502, 17/09/2018
22,Foodgrains,Aman-HYV-Medium,Kilogram,42--43,Quintal,4114--4114, 17/09/2018
