Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aman-Local-Fine,Kilogram,,Quintal,3850--3850, 29/12/2022
2,Foodgrains,Aman-Local-Medium,Kilogram,32--33,Quintal,3186--3186, 29/12/2022
3,Foodgrains,Aman-Local-Coarse,Kilogram,28--29,Quintal,2802--2802, 29/12/2022
4,Foodgrains,Aman-Pajam,Kilogram,,Quintal,3650--3650, 29/12/2022
5,Foodgrains,Aus-HYV-Medium,Kilogram,20--22,Quintal,2000--2000, 29/12/2022
6,Foodgrains,Boro-Fine,Kilogram,36--37,Quintal,3880--3880, 29/12/2022
7,Foodgrains,Aman-HYV-Medium,Kilogram,33--35,Quintal,3200--3200, 29/12/2022
8,Foodgrains,Aman-HYV-Fine,Kilogram,,Quintal,3075--3075, 29/12/2022
9,Foodgrains,Boro-Medium,Kilogram,34--35,Quintal,3516--3516, 29/12/2022
10,Foodgrains,Boro Coarse,Kilogram,26--27,Quintal,2814--2814, 29/12/2022
11,Foodgrains,Aman-HYV-Coarse,Kilogram,28--30,Quintal,2847--2847, 29/12/2022
12,Foodgrains,Aman-Super-Fine,Kilogram,75--84,Quintal,8200--8200, 29/12/2022
13,Foodgrains,Aman-Fine,Kilogram,70--75,Quintal,7018--7018, 29/12/2022
14,Foodgrains,Aman-Medium,Kilogram,54--57,Quintal,5371--5371, 29/12/2022
15,Foodgrains,Aman-Coarse,Kilogram,46--49,Quintal,4574--4574, 29/12/2022
16,Foodgrains,Aman-Pajam,Kilogram,59--61,Quintal,5825--5825, 29/12/2022
17,Foodgrains,Boro-HYV-Fine,Kilogram,68--73,Quintal,6911--6911, 29/12/2022
18,Foodgrains,Boro-Pajam,Kilogram,70--74,Quintal,6900--6900, 29/12/2022
19,Foodgrains,Atap,Kilogram,46--48,Quintal,4450--4450, 29/12/2022
20,Foodgrains,Boro-HYV-Medium,Kilogram,57--60,Quintal,5704--5704, 29/12/2022
