Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aman-Super-Fine,Kilogram,66--70,Quintal,6400--6400, 04/08/2023
2,Foodgrains,Aman-Medium,Kilogram,58--60,Quintal,5400--5400, 04/08/2023
3,Foodgrains,Aman-Coarse,Kilogram,44--46,Quintal,4000--4000, 04/08/2023
4,Foodgrains,Boro-HYV-Fine,Kilogram,68--70,Quintal,6600--6600, 04/08/2023
5,Foodgrains,Boro-HYV-Coarse,Kilogram,44--46,Quintal,4200--4200, 04/08/2023
6,Foodgrains,Aman-HYV-Medium,Kilogram,58--60,Quintal,5400--5400, 04/08/2023
7,Foodgrains,Ata (loose) - white,Kilogram,44--46,Quintal,4200--4200, 04/08/2023
8,Foodgrains,Ata (O. M. S.),Kilogram,26--28,Quintal,2500--2500, 04/08/2023
9,Foodgrains,Ata (loose) - red,Kilogram,40--42,Quintal,3800--3800, 04/08/2023
10,Foodgrains,Flour (loose),Kilogram,65--68,Quintal,6200--6200, 04/08/2023
11,Foodgrains,Flour (packet),Kilogram,66--68,Quintal,6400--6400, 04/08/2023
12,Foodgrains,Chinigura,Kilogram,120--125,Quintal,11000--11000, 04/08/2023
13,Foodgrains,Muri,Kilogram,95--100,Quintal,8500--8500, 04/08/2023
14,Dal,Masur (Imported) Superior quality,Kilogram,120--125,Quintal,11600--11600, 04/08/2023
15,Dal,Mung (imported),Kilogram,120--125,Quintal,11000--11000, 04/08/2023
16,Oil,Mustard Oil (Local) - Ordinary,Liter,260--280,100 Liters,24000--24000, 04/08/2023
17,Oil,Soybean Oil(loose),Liter,175--178,100 Liters,17200--17200, 04/08/2023
18,Oil,Palm Oil,Liter,140--145,100 Liters,13800--13800, 04/08/2023
19,Spices,Dried Chili (Chittagong) - Superior,Kilogram,480--500,Quintal,46000--46000, 04/08/2023
20,Spices,Turmeric (Imported),Kilogram,190--200,Quintal,18000--18000, 04/08/2023
21,Spices,Onion-imported,Kilogram,50--52,Quintal,4800--4800, 04/08/2023
22,Spices,Garlic (Imported),Kilogram,160--170,Quintal,158000--158000, 04/08/2023
23,Spices,Green Chili (Local),Kilogram,300--320,Quintal,28000--28000, 04/08/2023
24,Spices,Ginger (Imported),Kilogram,180--190,Quintal,17000--17000, 04/08/2023
