Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aus-HYV-Medium,Kilogram,23--24,Quintal,2050--2050, 09/09/2023
2,Foodgrains,Aman-Fine,Kilogram,68--70,Quintal,6600--6600, 09/09/2023
3,Foodgrains,Aman-Coarse,Kilogram,50--52,Quintal,4900--4900, 09/09/2023
4,Foodgrains,Boro-HYV-Fine,Kilogram,60--69,Quintal,6450--6450, 09/09/2023
5,Foodgrains,Atap,Kilogram,46--48,Quintal,4500--4500, 09/09/2023
6,Foodgrains,Boro-HYV-Medium,Kilogram,52--56,Quintal,5150--5150, 09/09/2023
7,Foodgrains,Boro-HYV-Coarse,Kilogram,45--46,Quintal,4400--4400, 09/09/2023
8,Foodgrains,Aman-HYV-Medium,Kilogram,55--56,Quintal,5200--5200, 09/09/2023
9,Foodgrains,Ata (loose) - white,Kilogram,49--51,Quintal,4550--4550, 09/09/2023
10,Foodgrains,Ata (packet),Kilogram,60--62,Quintal,5800--5800, 09/09/2023
11,Foodgrains,Flour (loose),Kilogram,63--64,Quintal,6000--6000, 09/09/2023
12,Foodgrains,Flour (packet),Kilogram,70--72,Quintal,6700--6700, 09/09/2023
13,Foodgrains,Chinigura,Kilogram,133--140,Quintal,12750--12750, 09/09/2023
14,Foodgrains,Muri,Kilogram,70--100,Quintal,9000--9000, 09/09/2023
15,Foodgrains,Chira,Kilogram,52--54,Quintal,5000--5000, 09/09/2023
16,Dal,Small Mung (Local) - Superior quality,Kilogram,120--130,Quintal,11500--11500, 09/09/2023
17,Dal,Small Mung (Local) - Ordinary,Kilogram,95--100,Quintal,9300--9300, 09/09/2023
18,Dal,Masur (Imported) Superior quality,Kilogram,125--130,Quintal,12500--12500, 09/09/2023
19,Dal,Mung (local),Kilogram,120--125,Quintal,10900--10900, 09/09/2023
20,Dal,Mung (imported),Kilogram,90--95,Quintal,8700--8700, 09/09/2023
21,Dal,Gram (whole),Kilogram,NaN--86,Quintal,8300--8300, 09/09/2023
22,Dal,Gram (broken),Kilogram,84--86,Quintal,8050--8050, 09/09/2023
23,Dal,Motar (Peas)-Imported,Kilogram,58--60,Quintal,5700--5700, 09/09/2023
24,Dal,Lentils - Desi,Kilogram,128--133,Quintal,12350--12350, 09/09/2023
25,Oil,Mustard Oil (Local) - Ordinary,Liter,240--250,100 Liters,22000--22000, 09/09/2023
26,Oil,Soybean Oil(loose),Liter,168--170,100 Liters,16200--16200, 09/09/2023
27,Oil,Palm Oil,Liter,,100 Liters,, 09/09/2023
28,Oil,Coconut Oil (Imported) - Ordinary,Liter,,100 Liters,, 09/09/2023
29,Spices,Dried Chili (Local) - Superior,Kilogram,450--500,Quintal,4200--4200, 09/09/2023
30,Spices,Turmeric (Local) - Long (Superior),Kilogram,190--200,Quintal,18500--18500, 09/09/2023
31,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,170--180,Quintal,17000--17000, 09/09/2023
32,Spices,Dried Chili (Imported) - Ordinary,Kilogram,550--600,Quintal,5200--5200, 09/09/2023
33,Spices,Onion (local),Kilogram,77--81,Quintal,7667--7667, 09/09/2023
34,Spices,Onion-imported,Kilogram,65--69,Quintal,6433--6433, 09/09/2023
35,Spices,Garlic (local) - Big Size,Kilogram,240--260,Quintal,24167--24167, 09/09/2023
36,Spices,Garlic (Imported),Kilogram,245--255,Quintal,24300--24300, 09/09/2023
