commodity_id,date,min_wholesale_price,max_wholesale_price,unit
4,2013-04-17,2450.0,2450.0,Quintal
3,2013-04-17,4400.0,4400.0,100 Liters
5,2013-04-17,1473.0,1473.0,Quintal
1,2013-04-21,10468.0,10468.0,100 Liters
4,2013-04-21,3000.0,3000.0,Quintal
1,2013-04-22,10468.0,10468.0,100 Liters
4,2013-04-22,3000.0,3000.0,Quintal
4,2013-04-23,3200.0,3200.0,Quintal
6,2013-04-24,2550.0,2550.0,Quintal
1,2013-04-24,10490.0,10490.0,100 Liters
4,2013-04-24,2720.0,2720.0,Quintal
3,2013-04-24,4400.0,4400.0,100 Liters
5,2013-04-24,1573.0,1573.0,Quintal
1,2013-04-25,10440.0,10440.0,100 Liters
4,2013-04-25,3500.0,3500.0,Quintal
1,2013-04-28,10440.0,10440.0,100 Liters
4,2013-04-28,3800.0,3800.0,Quintal
1,2013-04-29,10440.0,10440.0,100 Liters
4,2013-04-29,2800.0,2800.0,Quintal
6,2013-09-01,2230.0,2230.0,Quintal
1,2013-09-01,11122.0,11122.0,100 Liters
4,2013-09-01,5318.0,5318.0,Quintal
3,2013-09-01,4833.0,4833.0,100 Liters
5,2013-09-01,2550.0,2550.0,Quintal
1,2013-04-30,10440.0,10440.0,100 Liters
4,2013-04-30,3500.0,3500.0,Quintal
6,2013-01-05,1520.0,1520.0,Quintal
1,2013-01-05,10600.0,10600.0,100 Liters
4,2013-01-05,2450.0,2450.0,Quintal
3,2013-01-05,3200.0,3200.0,100 Liters
5,2013-01-05,1220.0,1220.0,Quintal
6,2013-02-05,2450.0,2450.0,Quintal
1,2013-02-05,11063.0,11063.0,100 Liters
4,2013-02-05,2186.0,2186.0,Quintal
3,2013-02-05,5250.0,5250.0,100 Liters
5,2013-02-05,1150.0,1150.0,Quintal
1,2013-05-05,10400.0,10400.0,100 Liters
4,2013-05-05,2800.0,2800.0,Quintal
1,2013-06-05,11400.0,11400.0,100 Liters
4,2013-06-05,2800.0,2800.0,Quintal
1,2013-07-05,11420.0,11420.0,100 Liters
4,2013-07-05,2800.0,2800.0,Quintal
6,2013-08-05,1833.0,1833.0,Quintal
1,2013-08-05,11117.0,11117.0,100 Liters
4,2013-08-05,2667.0,2667.0,Quintal
3,2013-08-05,4300.0,4300.0,100 Liters
5,2013-08-05,1370.0,1370.0,Quintal
4,2013-09-05,3000.0,3000.0,Quintal
4,2013-12-05,2800.0,2800.0,Quintal
4,2013-05-13,3000.0,3000.0,Quintal
1,2013-10-01,10717.0,10717.0,100 Liters
4,2013-10-01,5600.0,5600.0,Quintal
4,2013-05-14,3200.0,3200.0,Quintal
6,2013-05-15,1818.0,1818.0,Quintal
1,2013-05-15,11129.0,11129.0,100 Liters
4,2013-05-15,2540.0,2540.0,Quintal
3,2013-05-15,4833.0,4833.0,100 Liters
5,2013-05-15,1458.0,1458.0,Quintal
1,2013-05-21,10400.0,10400.0,100 Liters
4,2013-05-21,2500.0,2500.0,Quintal
6,2013-05-22,1840.0,1840.0,Quintal
1,2013-05-22,11056.0,11056.0,100 Liters
4,2013-05-22,2423.0,2423.0,Quintal
3,2013-05-22,5500.0,5500.0,100 Liters
5,2013-05-22,1467.0,1467.0,Quintal
1,2013-05-26,10400.0,10400.0,100 Liters
4,2013-05-26,2800.0,2800.0,Quintal
6,2013-05-29,1713.0,1713.0,Quintal
1,2013-05-29,11231.0,11231.0,100 Liters
4,2013-05-29,2610.0,2610.0,Quintal
3,2013-05-29,5500.0,5500.0,100 Liters
5,2013-05-29,1513.0,1513.0,Quintal
1,2013-02-06,10370.0,10370.0,100 Liters
4,2013-02-06,2650.0,2650.0,Quintal
1,2013-03-06,10643.0,10643.0,100 Liters
4,2013-03-06,2767.0,2767.0,Quintal
1,2013-04-06,10645.0,10645.0,100 Liters
4,2013-04-06,2833.0,2833.0,Quintal
6,2013-05-06,1870.0,1870.0,Quintal
1,2013-05-06,11252.0,11252.0,100 Liters
4,2013-05-06,2600.0,2600.0,Quintal
3,2013-05-06,5340.0,5340.0,100 Liters
5,2013-05-06,1625.0,1625.0,Quintal
1,2013-01-13,10717.0,10717.0,100 Liters
4,2013-01-13,6000.0,6000.0,Quintal
6,2013-06-06,1860.0,1860.0,Quintal
1,2013-06-06,11179.0,11179.0,100 Liters
4,2013-06-06,2188.0,2188.0,Quintal
3,2013-06-06,5500.0,5500.0,100 Liters
5,2013-06-06,1200.0,1200.0,Quintal
1,2013-09-06,11111.0,11111.0,100 Liters
4,2013-09-06,2657.0,2657.0,Quintal
3,2013-09-06,5500.0,5500.0,100 Liters
5,2013-09-06,1250.0,1250.0,Quintal
1,2013-10-06,11111.0,11111.0,100 Liters
4,2013-10-06,2443.0,2443.0,Quintal
3,2013-10-06,5500.0,5500.0,100 Liters
5,2013-10-06,1250.0,1250.0,Quintal
1,2013-11-06,11566.0,11566.0,100 Liters
4,2013-11-06,2900.0,2900.0,Quintal
3,2013-11-06,5000.0,5000.0,100 Liters
5,2013-11-06,1250.0,1250.0,Quintal
6,2013-12-06,1859.0,1859.0,Quintal
1,2013-12-06,11122.0,11122.0,100 Liters
4,2013-12-06,2459.0,2459.0,Quintal
3,2013-12-06,5125.0,5125.0,100 Liters
5,2013-12-06,1506.0,1506.0,Quintal
1,2013-06-13,11475.0,11475.0,100 Liters
4,2013-06-13,3100.0,3100.0,Quintal
3,2013-06-13,5000.0,5000.0,100 Liters
5,2013-06-13,1250.0,1250.0,Quintal
6,2013-06-16,1875.0,1875.0,Quintal
1,2013-06-16,11416.0,11416.0,100 Liters
4,2013-06-16,3033.0,3033.0,Quintal
3,2013-06-16,4750.0,4750.0,100 Liters
5,2013-06-16,1125.0,1125.0,Quintal
1,2013-06-17,11530.0,11530.0,100 Liters
4,2013-06-17,3100.0,3100.0,Quintal
3,2013-06-17,5000.0,5000.0,100 Liters
5,2013-06-17,1150.0,1150.0,Quintal
1,2013-06-18,11655.0,11655.0,100 Liters
4,2013-06-18,3100.0,3100.0,Quintal
3,2013-06-18,5000.0,5000.0,100 Liters
5,2013-06-18,1150.0,1150.0,Quintal
6,2013-06-19,2022.0,2022.0,Quintal
1,2013-06-19,11087.0,11087.0,100 Liters
4,2013-06-19,2479.0,2479.0,Quintal
3,2013-06-19,5167.0,5167.0,100 Liters
5,2013-06-19,1455.0,1455.0,Quintal
1,2013-01-14,10900.0,10900.0,100 Liters
4,2013-01-14,6000.0,6000.0,Quintal
1,2013-06-20,11843.0,11843.0,100 Liters
4,2013-06-20,2967.0,2967.0,Quintal
3,2013-06-20,5000.0,5000.0,100 Liters
1,2013-06-23,11475.0,11475.0,100 Liters
4,2013-06-23,3075.0,3075.0,Quintal
3,2013-06-23,5000.0,5000.0,100 Liters
5,2013-06-23,1300.0,1300.0,Quintal
1,2013-06-24,11091.0,11091.0,100 Liters
4,2013-06-24,3125.0,3125.0,Quintal
3,2013-06-24,5000.0,5000.0,100 Liters
5,2013-06-24,1300.0,1300.0,Quintal
6,2013-06-26,2038.0,2038.0,Quintal
1,2013-06-26,11036.0,11036.0,100 Liters
4,2013-06-26,2793.0,2793.0,Quintal
3,2013-06-26,4800.0,4800.0,100 Liters
5,2013-06-26,1500.0,1500.0,Quintal
1,2013-06-27,11389.0,11389.0,100 Liters
4,2013-06-27,3538.0,3538.0,Quintal
3,2013-06-27,5000.0,5000.0,100 Liters
5,2013-06-27,1300.0,1300.0,Quintal
1,2013-06-30,11048.0,11048.0,100 Liters
4,2013-06-30,4413.0,4413.0,Quintal
3,2013-06-30,5000.0,5000.0,100 Liters
5,2013-06-30,1300.0,1300.0,Quintal
1,2013-01-07,11048.0,11048.0,100 Liters
4,2013-01-07,4650.0,4650.0,Quintal
3,2013-01-07,5000.0,5000.0,100 Liters
5,2013-01-07,1300.0,1300.0,Quintal
1,2013-02-07,11048.0,11048.0,100 Liters
4,2013-02-07,5313.0,5313.0,Quintal
3,2013-02-07,5000.0,5000.0,100 Liters
5,2013-02-07,1300.0,1300.0,Quintal
6,2013-03-07,2116.0,2116.0,Quintal
1,2013-03-07,11060.0,11060.0,100 Liters
4,2013-03-07,4915.0,4915.0,Quintal
3,2013-03-07,4929.0,4929.0,100 Liters
5,2013-03-07,1508.0,1508.0,Quintal
1,2013-04-07,11388.0,11388.0,100 Liters
4,2013-04-07,6186.0,6186.0,Quintal
3,2013-04-07,5000.0,5000.0,100 Liters
5,2013-04-07,1300.0,1300.0,Quintal
1,2013-08-07,11193.0,11193.0,100 Liters
4,2013-08-07,8270.0,8270.0,Quintal
3,2013-08-07,5000.0,5000.0,100 Liters
5,2013-08-07,1300.0,1300.0,Quintal
1,2013-09-07,11116.0,11116.0,100 Liters
4,2013-09-07,10440.0,10440.0,Quintal
3,2013-09-07,5000.0,5000.0,100 Liters
5,2013-09-07,1300.0,1300.0,Quintal
6,2013-10-07,2100.0,2100.0,Quintal
1,2013-10-07,10980.0,10980.0,100 Liters
4,2013-10-07,11228.0,11228.0,Quintal
3,2013-10-07,5000.0,5000.0,100 Liters
5,2013-10-07,1244.0,1244.0,Quintal
1,2013-11-07,10999.0,10999.0,100 Liters
4,2013-11-07,14008.0,14008.0,Quintal
3,2013-11-07,5000.0,5000.0,100 Liters
5,2013-11-07,1333.0,1333.0,Quintal
1,2013-07-14,11132.0,11132.0,100 Liters
4,2013-07-14,13760.0,13760.0,Quintal
3,2013-07-14,5000.0,5000.0,100 Liters
5,2013-07-14,1300.0,1300.0,Quintal
1,2013-07-15,11084.0,11084.0,100 Liters
4,2013-07-15,12850.0,12850.0,Quintal
3,2013-07-15,5000.0,5000.0,100 Liters
5,2013-07-15,1300.0,1300.0,Quintal
1,2013-07-16,10984.0,10984.0,100 Liters
4,2013-07-16,12556.0,12556.0,Quintal
3,2013-07-16,5000.0,5000.0,100 Liters
5,2013-07-16,1300.0,1300.0,Quintal
6,2013-07-17,2125.0,2125.0,Quintal
1,2013-07-17,10996.0,10996.0,100 Liters
4,2013-07-17,11788.0,11788.0,Quintal
3,2013-07-17,5400.0,5400.0,100 Liters
5,2013-07-17,1709.0,1709.0,Quintal
1,2013-07-18,11164.0,11164.0,100 Liters
4,2013-07-18,13067.0,13067.0,Quintal
3,2013-07-18,5000.0,5000.0,100 Liters
5,2013-07-18,1300.0,1300.0,Quintal
1,2013-07-21,10987.0,10987.0,100 Liters
4,2013-07-21,8689.0,8689.0,Quintal
3,2013-07-21,5000.0,5000.0,100 Liters
5,2013-07-21,1300.0,1300.0,Quintal
1,2013-07-22,10719.0,10719.0,100 Liters
4,2013-07-22,8113.0,8113.0,Quintal
3,2013-07-22,5000.0,5000.0,100 Liters
5,2013-07-22,1300.0,1300.0,Quintal
1,2013-07-23,10775.0,10775.0,100 Liters
4,2013-07-23,8111.0,8111.0,Quintal
3,2013-07-23,5000.0,5000.0,100 Liters
5,2013-07-23,1300.0,1300.0,Quintal
6,2013-07-24,2176.0,2176.0,Quintal
1,2013-07-24,10860.0,10860.0,100 Liters
4,2013-07-24,6858.0,6858.0,Quintal
3,2013-07-24,5083.0,5083.0,100 Liters
5,2013-07-24,1511.0,1511.0,Quintal
1,2013-07-25,10754.0,10754.0,100 Liters
4,2013-07-25,6960.0,6960.0,Quintal
3,2013-07-25,5000.0,5000.0,100 Liters
5,2013-07-25,1250.0,1250.0,Quintal
1,2013-07-28,10892.0,10892.0,100 Liters
4,2013-07-28,5883.0,5883.0,Quintal
3,2013-07-28,5000.0,5000.0,100 Liters
5,2013-07-28,1300.0,1300.0,Quintal
1,2013-07-29,10733.0,10733.0,100 Liters
4,2013-07-29,5891.0,5891.0,Quintal
3,2013-07-29,5000.0,5000.0,100 Liters
5,2013-07-29,1300.0,1300.0,Quintal
1,2013-07-30,10869.0,10869.0,100 Liters
4,2013-07-30,5764.0,5764.0,Quintal
3,2013-07-30,5000.0,5000.0,100 Liters
5,2013-07-30,1200.0,1200.0,Quintal
6,2013-07-31,2203.0,2203.0,Quintal
1,2013-07-31,10808.0,10808.0,100 Liters
4,2013-07-31,5132.0,5132.0,Quintal
3,2013-07-31,5000.0,5000.0,100 Liters
5,2013-07-31,1390.0,1390.0,Quintal
