date,Boro-Fine_min_wholesale_price,Boro-Fine_max_wholesale_price,Boro-Fine_unit,Soybean Oil(loose)_min_wholesale_price,Soybean Oil(loose)_max_wholesale_price,Soybean Oil(loose)_unit,Green Chili (Local)_min_wholesale_price,Green Chili (Local)_max_wholesale_price,Green Chili (Local)_unit,Cow Milk (liquid)_min_wholesale_price,Cow Milk (liquid)_max_wholesale_price,Cow Milk (liquid)_unit,Egg Farm-Red_min_wholesale_price,Egg Farm-Red_max_wholesale_price,Egg Farm-Red_unit,Potato (Local) - Old_min_wholesale_price,Potato (Local) - Old_max_wholesale_price,Potato (Local) - Old_unit
2013-03-13,2620.0,2620.0,Quintal,11292.0,11292.0,100 Liters,4244.0,4244.0,Quintal,4275.0,4275.0,100 Liters,787.0,787.0,100 pieces,2000.0,2000.0,Quintal
2013-03-19,,,,,,,3000.0,3000.0,Quintal,,,,825.0,825.0,100 pieces,,,
2013-03-20,2620.0,2620.0,Quintal,11285.0,11285.0,100 Liters,3407.0,3407.0,Quintal,4533.0,4533.0,100 Liters,771.0,771.0,100 pieces,1500.0,1500.0,Quintal
2013-03-27,2550.0,2550.0,Quintal,17762.0,17762.0,100 Liters,3036.0,3036.0,Quintal,4275.0,4275.0,100 Liters,793.0,793.0,100 pieces,1100.0,1100.0,Quintal
2013-04-03,2550.0,2550.0,Quintal,11245.0,11245.0,100 Liters,2408.0,2408.0,Quintal,4275.0,4275.0,100 Liters,782.0,782.0,100 pieces,1400.0,1400.0,Quintal
2013-04-07,,,,10600.0,10600.0,100 Liters,2000.0,2000.0,Quintal,,,,760.0,760.0,100 pieces,,,
2013-04-08,,,,,,,2800.0,2800.0,Quintal,,,,760.0,760.0,100 pieces,,,
2013-04-09,,,,,,,3000.0,3000.0,Quintal,,,,760.0,760.0,100 pieces,,,
2013-04-10,2550.0,2550.0,Quintal,11208.0,11208.0,100 Liters,2615.0,2615.0,Quintal,4533.0,4533.0,100 Liters,779.0,779.0,100 pieces,1483.0,1483.0,Quintal
2013-04-17,2550.0,2550.0,Quintal,10477.0,10477.0,100 Liters,2450.0,2450.0,Quintal,4400.0,4400.0,100 Liters,775.0,775.0,100 pieces,1473.0,1473.0,Quintal
2013-04-21,,,,10468.0,10468.0,100 Liters,3000.0,3000.0,Quintal,,,,750.0,750.0,100 pieces,,,
2013-04-22,,,,10468.0,10468.0,100 Liters,3000.0,3000.0,Quintal,,,,750.0,750.0,100 pieces,,,
2013-04-23,,,,,,,3200.0,3200.0,Quintal,,,,750.0,750.0,100 pieces,,,
2013-04-24,2550.0,2550.0,Quintal,10490.0,10490.0,100 Liters,2720.0,2720.0,Quintal,4400.0,4400.0,100 Liters,816.0,816.0,100 pieces,1573.0,1573.0,Quintal
2013-04-25,,,,10440.0,10440.0,100 Liters,3500.0,3500.0,Quintal,,,,750.0,750.0,100 pieces,,,
2013-04-28,,,,10440.0,10440.0,100 Liters,3800.0,3800.0,Quintal,,,,750.0,750.0,100 pieces,,,
2013-04-29,,,,10440.0,10440.0,100 Liters,2800.0,2800.0,Quintal,,,,750.0,750.0,100 pieces,,,
2013-04-30,,,,10440.0,10440.0,100 Liters,3500.0,3500.0,Quintal,,,,750.0,750.0,100 pieces,,,
2013-05-01,1520.0,1520.0,Quintal,10600.0,10600.0,100 Liters,2450.0,2450.0,Quintal,3200.0,3200.0,100 Liters,848.0,848.0,100 pieces,1220.0,1220.0,Quintal
2013-05-02,2450.0,2450.0,Quintal,11063.0,11063.0,100 Liters,2186.0,2186.0,Quintal,5250.0,5250.0,100 Liters,819.0,819.0,100 pieces,1150.0,1150.0,Quintal
2013-05-05,,,,10400.0,10400.0,100 Liters,2800.0,2800.0,Quintal,,,,750.0,750.0,100 pieces,,,
2013-05-06,,,,11400.0,11400.0,100 Liters,2800.0,2800.0,Quintal,,,,750.0,750.0,100 pieces,,,
2013-05-07,,,,11420.0,11420.0,100 Liters,2800.0,2800.0,Quintal,,,,750.0,750.0,100 pieces,,,
2013-05-08,1833.0,1833.0,Quintal,11117.0,11117.0,100 Liters,2667.0,2667.0,Quintal,4300.0,4300.0,100 Liters,825.0,825.0,100 pieces,1370.0,1370.0,Quintal
2013-05-09,,,,,,,3000.0,3000.0,Quintal,,,,750.0,750.0,100 pieces,,,
2013-05-12,,,,,,,2800.0,2800.0,Quintal,,,,750.0,750.0,100 pieces,,,
