Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Boro-Fine,Kilogram,,Quintal,2080--2080, 24/06/2014
2,Foodgrains,Boro-Medium,Kilogram,19--19,Quintal,1958--1958, 24/06/2014
3,Foodgrains,Boro Coarse,Kilogram,,Quintal,1746--1746, 24/06/2014
4,Foodgrains,Boro-Local,Kilogram,18--18,Quintal,1825--1825, 24/06/2014
5,Foodgrains,Aman-Fine,Kilogram,45--47,Quintal,3975--3975, 24/06/2014
6,Foodgrains,Aman-Medium,Kilogram,40--41,Quintal,3900--3900, 24/06/2014
7,Foodgrains,Aman-Coarse,Kilogram,34--35,Quintal,3263--3263, 24/06/2014
8,Foodgrains,Aman-Pajam,Kilogram,44--47,Quintal,4433--4433, 24/06/2014
9,Foodgrains,Boro-HYV-Fine,Kilogram,44--46,Quintal,4313--4313, 24/06/2014
10,Foodgrains,Boro-Pajam,Kilogram,45--51,Quintal,4900--4900, 24/06/2014
11,Foodgrains,Atap,Kilogram,33--38,Quintal,3317--3317, 24/06/2014
12,Foodgrains,O. M. S.,Kilogram,24--24,Quintal,, 24/06/2014
13,Foodgrains,Boro-HYV-Medium,Kilogram,36--39,Quintal,3589--3589, 24/06/2014
14,Foodgrains,Aman-HYV-Coarse,Kilogram,35--37,Quintal,3110--3110, 24/06/2014
15,Foodgrains,Aman-HYV-Fine,Kilogram,46--49,Quintal,4628--4628, 24/06/2014
16,Foodgrains,Boro-HYV-Coarse,Kilogram,31--33,Quintal,3128--3128, 24/06/2014
17,Foodgrains,Aman-HYV-Medium,Kilogram,37--40,Quintal,3598--3598, 24/06/2014
18,Foodgrains,Boro-Local,Kilogram,32--33,Quintal,3125--3125, 24/06/2014
19,Foodgrains,Local-White,Kilogram,24--25,Quintal,2325--2325, 24/06/2014
20,Foodgrains,Imported-Red,Kilogram,28--30,Quintal,2600--2600, 24/06/2014
21,Foodgrains,Imported-White,Kilogram,36--36,Quintal,3000--3000, 24/06/2014
22,Foodgrains,Ata (loose) - white,Kilogram,29--31,Quintal,2766--2766, 24/06/2014
23,Foodgrains,Ata (packet),Kilogram,35--37,Quintal,3426--3426, 24/06/2014
24,Foodgrains,Ata (O. M. S.),Kilogram,22--22,Quintal,, 24/06/2014
25,Foodgrains,Ata (loose) - red,Kilogram,28--28,Quintal,2504--2504, 24/06/2014
26,Foodgrains,Flour (loose),Kilogram,37--40,Quintal,3660--3660, 24/06/2014
27,Foodgrains,Flour-Suji,Kilogram,42--47,Quintal,4169--4169, 24/06/2014
28,Foodgrains,Flour (packet),Kilogram,44--45,Quintal,4254--4254, 24/06/2014
29,Foodgrains,Maize,Kilogram,29--30,Quintal,1655--1655, 24/06/2014
30,Foodgrains,Chinigura,Kilogram,83--88,Quintal,7841--7841, 24/06/2014
31,Foodgrains,Kalojira,Kilogram,78--82,Quintal,6534--6534, 24/06/2014
32,Foodgrains,Kataribhog,Kilogram,61--64,Quintal,5783--5783, 24/06/2014
33,Foodgrains,Pajam,Kilogram,47--50,Quintal,4400--4400, 24/06/2014
34,Foodgrains,Muri,Kilogram,53--61,Quintal,5629--5629, 24/06/2014
35,Foodgrains,Chira,Kilogram,39--43,Quintal,3781--3781, 24/06/2014
36,Dal,Small Mung (Local) - Superior quality,Kilogram,,Quintal,13500--13500, 24/06/2014
37,Dal,Mash (whole),Kilogram,84--92,Quintal,8720--8720, 24/06/2014
38,Dal,Mash (broken),Kilogram,84--88,Quintal,8100--8100, 24/06/2014
39,Dal,Masur (whole) local,Kilogram,97--100,Quintal,9528--9528, 24/06/2014
40,Dal,Masur (broken) local,Kilogram,86--90,Quintal,8483--8483, 24/06/2014
41,Dal,Masur (Imported) Superior quality,Kilogram,100--104,Quintal,9709--9709, 24/06/2014
42,Dal,Masur (Imported) ordinary,Kilogram,81--85,Quintal,7858--7858, 24/06/2014
43,Dal,Mung (local),Kilogram,116--124,Quintal,11676--11676, 24/06/2014
44,Dal,Mung (imported),Kilogram,98--106,Quintal,9913--9913, 24/06/2014
45,Dal,Gram (whole),Kilogram,64--68,Quintal,6225--6225, 24/06/2014
46,Dal,Gram (broken),Kilogram,60--63,Quintal,5708--5708, 24/06/2014
47,Dal,Motar (Peas)-Imported,Kilogram,45--47,Quintal,4170--4170, 24/06/2014
48,Dal,Motar (Peas)-local,Kilogram,69--71,Quintal,6591--6591, 24/06/2014
49,Oil Seed,Mustard,Kilogram,70--80,Quintal,4620--4620, 24/06/2014
50,Oil Seed,Tishi,Kilogram,65--70,Quintal,6200--6200, 24/06/2014
51,Oil Seed,Ground Nut,Kilogram,65--70,Quintal,6275--6275, 24/06/2014
52,Oil Seed,Soybean,Kilogram,,Quintal,3625--3625, 24/06/2014
53,Oil,Mustard Oil (Local) - Superior quality,Liter,131--138,100 Liters,11735--11735, 24/06/2014
54,Oil,Mustard Oil (Local) - Ordinary,Liter,110--116,100 Liters,10739--10739, 24/06/2014
55,Oil,Soybean Oil(loose),Liter,98--101,100 Liters,13041--13041, 24/06/2014
56,Oil,Palm Oil,Liter,82--84,100 Liters,7883--7883, 24/06/2014
57,Oil,Vegetable Ghee,Liter,110--115,100 Liters,9532--9532, 24/06/2014
58,Oil,Coconut Oil (local),Liter,215--227,100 Liters,20967--20967, 24/06/2014
59,Oil,Coconut  Oil (Imported) - Superior Quality,Liter,240--250,100 Liters,23000--23000, 24/06/2014
60,Oil,Coconut Oil (Imported) - Ordinary,Liter,,100 Liters,19500--19500, 24/06/2014
61,Oil Cake,Oil Cake - Mustard,Kilogram,40--41,Quintal,3125--3125, 24/06/2014
62,Spices,Black Pepper(Golmorich),10 gm,9--10,Kilogram,863--863, 24/06/2014
