Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Boro-Medium,Kilogram,,Quintal,2700--2700, 01/05/2023
2,Foodgrains,Boro Coarse,Kilogram,,Quintal,2500--2500, 01/05/2023
3,Foodgrains,Boro-HYV-Fine,Kilogram,66--68,Quintal,6600--6600, 01/05/2023
4,Foodgrains,Boro-HYV-Medium,Kilogram,52--56,Quintal,5400--5400, 01/05/2023
5,Foodgrains,Boro-HYV-Coarse,Kilogram,46--48,Quintal,4600--4600, 01/05/2023
6,Foodgrains,Ata (loose) - white,Kilogram,54--55,Quintal,5200--5200, 01/05/2023
7,Dal,Masur (whole) local,Kilogram,130--135,Quintal,12800--12800, 01/05/2023
8,Dal,Masur (Imported) ordinary,Kilogram,90--95,Quintal,9000--9000, 01/05/2023
9,Dal,Motar (Peas)-Imported,Kilogram,64--66,Quintal,6200--6200, 01/05/2023
10,Oil,Soybean Oil(loose),Liter,170--175,100 Liters,17000--17000, 01/05/2023
11,Spices,Onion (local),Kilogram,70--75,Quintal,6800--6800, 01/05/2023
12,Spices,Garlic (local) - Big Size,Kilogram,140--160,Quintal,14000--14000, 01/05/2023
13,Spices,Green Chili (Local),Kilogram,120--140,Quintal,12000--12000, 01/05/2023
14,Spices,Ginger (Imported),Kilogram,260--280,Quintal,25000--25000, 01/05/2023
15,Meat,Beef,Kilogram,740--750,Quintal,, 01/05/2023
16,Meat,Broiler Farm,Kilogram,190--200,Quintal,, 01/05/2023
17,Egg,Egg Farm-Red,4 Pieces,48--50,100 pieces,, 01/05/2023
18,Fish,Ruhi (Local) big (above 5 kg),Kilogram,400--450,Quintal,40000--40000, 01/05/2023
19,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,300--350,Quintal,32000--32000, 01/05/2023
20,Fish,Pangash (big),Kilogram,250--300,Quintal,27000--27000, 01/05/2023
21,Fish,Hilsha,Kilogram,400--1600,Quintal,, 01/05/2023
22,Fish,Silver Carp,Kilogram,150--300,Quintal,26000--26000, 01/05/2023
23,Vegetable,Potato (Holland) - White (Old),Kilogram,35--40,Quintal,3500--3500, 01/05/2023
24,Vegetable,Brinjal - Superior Quality,Kilogram,50--60,Quintal,5000--5000, 01/05/2023
25,Vegetable,Patal (Pointed Gourd),Kilogram,35--40,Quintal,3200--3200, 01/05/2023
26,Vegetable,Pumpkin (Sweet Gourd),Kilogram,35--40,Quintal,3400--3400, 01/05/2023
27,Vegetable,Uchehhe (Bitter Gourd),1 KG,50--60,1 Bag (50kg),5000--5000, 01/05/2023
28,Vegetable,Karalla (Bitter Gourd),Kilogram,50--60,Quintal,5000--5000, 01/05/2023
29,Vegetable,Green Papaya,Kilogram,45--50,Quintal,4200--4200, 01/05/2023
30,Vegetable,Lady`s Finger (Okra),Kilogram,35--40,Quintal,3200--3200, 01/05/2023
31,Vegetable,Chichinga (Snakegourd),Kilogram,40--50,Quintal,4200--4200, 01/05/2023
32,Vegetable,Cucumber-big,Kilogram,40--45,Quintal,3800--3800, 01/05/2023
33,Vegetable,Malabar Spinach (Puisak),Kilogram,30--35,Quintal,2600--2600, 01/05/2023
34,Others,Sugar (Imported),Kilogram,130--132,Quintal,12900--12900, 01/05/2023
35,Others,Iodized Salt (Packed),Kilogram,30--38,Quintal,3500--3500, 01/05/2023
